movieCd,movieNm_box,openDt_box,movieNm_detail,movieNmEn,movieNmOg,genres,nations,directors,actors,productionCompanies,distributors
20145141,위플래쉬,2015-03-12,위플래쉬,Whiplash,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20143253,존 윅,2015-01-21,존 윅,John Wick,,액션|스릴러,미국,채드 스타헬스키|데이빗 레이치,키아누 리브스|로렌스 피쉬번|이안 맥쉐인|애드리앤 팰리키|윌렘 데포,,와이드 릴리즈(주)|(주)제이앤씨미디어그룹|(주)나이너스엔터테인먼트
20145501,돌연변이,2015-10-22,돌연변이,Collective Invention,,드라마|코미디,한국,권오광,이광수|이천희|박보영|장광|이병준,영화사 우상,필라멘트픽쳐스
20144322,도라에몽 : 스탠 바이 미,2015-02-12,도라에몽 : 스탠 바이 미,Stand by Me Doraemon,STAND BY ME ドラえもん,애니메이션,일본,야마자키 타카시|야기 류이치,미즈타 와사비|오오하라 메구미,,(주)콘텐츠판다|(주)넥스트엔터테인먼트월드(NEW)
20140241,고녀석 맛나겠다2 : 함께라서 행복해,2015-07-29,고녀석 맛나겠다2 : 함께라서 행복해,You Are So Yummy - Happy to Be with You,,애니메이션|가족|어드벤처,한국,노나카 카즈미|최경석,엄상현|시영준|안장혁|정주원|안효민,(주)미디어캐슬,(주)리틀빅픽쳐스
20153039,러브 라이브! 더 스쿨 아이돌 무비,2015-09-03,러브 라이브! 더 스쿨 아이돌 무비,Love Live! The School Idol Movie,,애니메이션,일본,쿄고쿠 타카히코,토쿠이 소라|파일|쿠보 유리카|이이다 리호|쿠스다 아이나,,(주)박수엔터테인먼트
20158561,기생수 파트2,2015-05-07,기생수 파트2,Parasyte: Part 2,寄生獣 PART2,SF|스릴러,일본,야마자키 타카시,소메타니 쇼타|아베 사다오|후카츠 에리|하시모토 아이,,판씨네마(주)
20144621,기생수 파트1,2015-02-26,기생수 파트1,Parasyte: Part 1,寄生獣 PART1,스릴러|SF,일본,야마자키 타카시,소메타니 쇼타|후카츠 에리|하시모토 아이|키타무라 카즈키|아사노 타다노부,,판씨네마(주)
20147803,한여름의 판타지아,2015-06-11,한여름의 판타지아,A Midsummer's Fantasia,,드라마,한국|일본,장건재,김새벽|이와세 료|임형국,(주)모쿠슈라,㈜인디스토리
20134798,연평해전,2015-06-24,연평해전,Northern Limit Line,,드라마,한국,김학순,김무열|진구|이현우|이완|이한종,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW)
20155702,앤트맨,2015-09-03,앤트맨,Ant-Man,,액션|SF,미국|영국,페이튼 리드,폴 러드|마이클 더글라스|에반젤린 릴리|코리 스톨,,월트디즈니컴퍼니코리아(주)
20156102,바닷마을 다이어리,2015-12-17,바닷마을 다이어리,Our Little Sister,"海街 Diary,Umimachi Diary",드라마,일본,고레에다 히로카즈,아야세 하루카|나가사와 마사미|카호|히로세 스즈|카세 료,,주식회사 왓챠|(주)티캐스트
20148846,사도,2015-09-16,사도,The Throne,,사극,한국,이준익,송강호|유아인|문근영|전혜진|김해숙,(주)타이거픽쳐스,(주)쇼박스
20136057,소수의견,2015-06-24,소수의견,Minority Opinion,,드라마,한국,김성제,윤계상|유해진|김옥빈|이경영|장광,(주)하리마오픽쳐스,(주)시네마서비스
20144741,매드 맥스: 분노의 도로,2015-05-14,매드 맥스: 분노의 도로,Mad Max: Fury Road,,액션|어드벤처|스릴러,미국|호주,조지 밀러,톰 하디|샤를리즈 테론|니콜라스 홀트|휴 키즈 바인|조 크라비츠,,워너브러더스 코리아(주)
20151782,지금은맞고그때는틀리다,2015-09-24,지금은맞고그때는틀리다,"Right Now, Wrong Then",,드라마,한국,홍상수,정재영|김민희|윤여정|기주봉|최화정,(주)영화제작전원사 ,(주)콘텐츠판다|(주)영화제작전원사 |(주)넥스트엔터테인먼트월드(NEW)
20143513,미쓰 와이프,2015-08-13,미쓰 와이프,Wonderful Nightmare,,코미디,한국,강효진,엄정화|송승헌|김상호|라미란|서신애,(주)영화사아이비젼|메가박스중앙(주) 플러스엠 엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트
20159161,마돈나,2015-07-02,마돈나,Madonna,,드라마,한국,신수원,서영희|김영민|변요한|권소현|이상희,준필름,(주)리틀빅픽쳐스
20157465,그놈이다,2015-10-28,그놈이다,FATAL INTUITION,,스릴러,한국,윤준형,주원|유해진|이유영|류혜영|서현우,상상필름(주)|(주)브라더픽처스,CGV아트하우스
20148855,극비수사,2015-06-18,극비수사,The Classified File,,드라마|범죄,한국,곽경택,김윤석|유해진|송영창|장영남|정호빈,(주)제이콘컴퍼니|(주)영화사 신세계,(주)쇼박스
20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,조선명탐정 : 사라진 놉의 딸,Detective K : Secret of the Lost Island,,사극|코미디|어드벤처,한국,김석윤,김명민|오달수|이연희|조관우|정원중,청년필름(주),(주)쇼박스
20147947,워킹걸,2015-01-07,워킹걸,Casa Amor; Exclusive for Ladies,,코미디|멜로/로맨스,한국,정범식,조여정|클라라|김태우|배성우|라미란,(주)홍필름|(주)수필름,메가박스중앙(주) 플러스엠 엔터테인먼트
20151383,마션,2015-10-08,마션,The Martian,,액션|어드벤처|SF,미국,리들리 스콧,맷 데이먼|제시카 차스테인|제프 다니엘스|케이트 마라|크리스틴 위그,,월트디즈니컴퍼니코리아 유한책임회사|이십세기폭스코리아(주)
20148493,어벤져스: 에이지 오브 울트론,2015-04-23,어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,,액션|어드벤처|판타지|SF,미국,조스 웨던,로버트 다우니 주니어|크리스 헴스워스|마크 러팔로|크리스 에반스|스칼렛 요한슨,,월트디즈니컴퍼니코리아 유한책임회사|월트디즈니컴퍼니코리아(주)
20148844,손님,2015-07-09,손님,The Piper,,판타지|공포(호러),한국,김광태,류승룡|이성민|천우희|이준|도기범,(주)유비유필름,(주)씨제이이엔엠
20130566,무뢰한,2015-05-27,무뢰한,The Shameless,,멜로/로맨스,한국,오승욱,김남길|전도연|박성웅|곽도원|강태영,(주)사나이픽처스,CGV아트하우스
20143572,뷰티 인사이드,2015-08-20,뷰티 인사이드,The Beauty Inside,,판타지|멜로/로맨스,한국,백,한효주|김대명|도지한|배성우|박신혜,(주)용필름,(주)넥스트엔터테인먼트월드(NEW)
20140144,도리화가,2015-11-25,도리화가,THE SOUND OF A FLOWER,,사극|드라마,한국,이종필,류승룡|배수지|송새벽|김남길|이동휘,(주)영화사 담담|(주)어바웃잇,(주)씨제이이엔엠
20136063,순수의 시대,2015-03-05,순수의 시대,Empire of Lust,,사극|드라마,한국,안상훈,신하균|장혁|강한나|강하늘|양영조,(주)화인웍스|(주)키메이커,(주)씨제이이엔엠
20136068,히말라야,2015-12-16,히말라야,The Himalayas,,드라마,한국,이석훈,황정민|정우|조성하|김인권|라미란,(주)제이케이필름,(주)씨제이이엔엠
20142855,성난 변호사,2015-10-08,성난 변호사,The Advocate : A Missing Body,,범죄|액션,한국,허종호,이선균|김고은|임원희|장현성|최재웅,(주)씨제이이엔엠|(주)영화사 빛나는 제국|우수영화사,(주)씨제이이엔엠
20140703,장수상회,2015-04-09,장수상회,Salut d’Amour,,멜로/로맨스|드라마,한국,강제규,박근형|윤여정|조진웅|한지민|윤여정,(주)빅픽쳐|(주)씨제이이엔엠,(주)씨제이이엔엠
20148188,쎄시봉,2015-02-05,쎄시봉,C'est Si Bon,,멜로/로맨스|코미디|드라마,한국,김현석,김윤석|정우|한효주|김희애|진구,유한회사 제이필름|(주)무브픽쳐스,(주)씨제이이엔엠
20140193,서부전선,2015-09-24,서부전선,The Long Way Home,,전쟁|드라마,한국,천성일,설경구|여진구|이경영|정성화|정인기,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트
20156557,탐정 : 더 비기닝,2015-09-24,탐정 : 더 비기닝,THE ACCIDENTAL DETECTIVE,,코미디|범죄,한국,김정훈,권상우|성동일|박해준|이승준|조복래,(주)크리픽쳐스,(주)씨제이이엔엠
20149062,연애의 맛,2015-05-07,연애의 맛,Love Clinic,,멜로/로맨스|코미디,한국,김아론,오지호|강예원|최령|오민석|주병하,(주)청우필름,(주)와우픽쳐스|(주)쇼박스
20148048,베테랑,2015-08-05,베테랑,Veteran,,액션|드라마,한국,류승완,황정민|유아인|유해진|오달수|장윤주,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
20156441,최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,최강전사 미니특공대 : 새로운 악당의 습격,Mini Force : Justice Defender,,애니메이션,한국,이영준,엄상현|전태열|신용우,(주)에스에이엠지엔터테인먼트,에이원엔터테인먼트
20149266,차이나타운,2015-04-29,차이나타운,Coin Locker Girl,,범죄|드라마,한국,한준희,김혜수|김고은|엄태구|박보검|고경표,폴룩스픽쳐스(주),CGV아트하우스
20144442,조선마술사,2015-12-30,조선마술사,The Magician,,드라마,한국,김대승,유승호|고아라|곽도원|조윤희|이경영,위더스필름(주),롯데쇼핑㈜롯데엔터테인먼트
20145503,검은 사제들,2015-11-05,검은 사제들,The Priests,,미스터리|드라마,한국,장재현,김윤석|강동원|박소담|김병옥|김의성,영화사 집,(주)씨제이이엔엠
20130021,"협녀, 칼의 기억",2015-08-13,"협녀, 칼의 기억",Memories of the Sword,,사극|액션,한국,박흥식,이병헌|전도연|김고은|이경영|김태우,(주)티피에스컴퍼니,롯데쇼핑㈜롯데엔터테인먼트
20143510,함정,2015-09-10,함정,Deep Trap,,스릴러|범죄,한국,권형진,마동석|조한선|김민경|지안|윤주,(주)에이치에스이디,(주)인벤트스톤
