movieNm_detail,gender,age,request_body,response
스노우 폭스2: 몬스터타운 구하기,m,2,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['2']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":86.8421},{""period"":""2025-04-28"",""ratio"":94.73684},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":18.42105},{""period"":""2025-05-19"",""ratio"":7.89473}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,3,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['3']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":26.38888},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":66.66666},{""period"":""2025-05-12"",""ratio"":8.33333},{""period"":""2025-05-19"",""ratio"":5.55555}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,4,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['4']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":45.83333},{""period"":""2025-04-28"",""ratio"":79.16666},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":9.72222},{""period"":""2025-05-19"",""ratio"":6.94444}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,5,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['5']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":24.27184},{""period"":""2025-04-28"",""ratio"":82.52427},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":6.79611},{""period"":""2025-05-19"",""ratio"":5.82524}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,6,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['6']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":44.32432},{""period"":""2025-04-28"",""ratio"":84.86486},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":5.4054},{""period"":""2025-05-19"",""ratio"":5.4054}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,7,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['7']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":43.3526},{""period"":""2025-04-28"",""ratio"":99.42196},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":8.3815},{""period"":""2025-05-19"",""ratio"":5.20231}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,8,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['8']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":36.58536},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":96.34146},{""period"":""2025-05-12"",""ratio"":5.69105},{""period"":""2025-05-19"",""ratio"":4.87804}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,9,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['9']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":23.5955},{""period"":""2025-04-28"",""ratio"":88.76404},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":8.98876},{""period"":""2025-05-19"",""ratio"":5.61797}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,10,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['10']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":41.17647},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":76.47058},{""period"":""2025-05-12"",""ratio"":5.88235}]}]}"
스노우 폭스2: 몬스터타운 구하기,m,11,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'm', 'ages': ['11']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":41.37931},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":10.34482},{""period"":""2025-05-19"",""ratio"":3.44827}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,2,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['2']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":60},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":60},{""period"":""2025-05-12"",""ratio"":10},{""period"":""2025-05-19"",""ratio"":10}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,3,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['3']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-07"",""ratio"":3.63636},{""period"":""2025-04-21"",""ratio"":50.90909},{""period"":""2025-04-28"",""ratio"":96.36363},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":10.90909},{""period"":""2025-05-19"",""ratio"":3.63636}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,4,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['4']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-03-31"",""ratio"":1.20481},{""period"":""2025-04-21"",""ratio"":36.14457},{""period"":""2025-04-28"",""ratio"":78.31325},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":3.61445},{""period"":""2025-05-19"",""ratio"":3.61445}]}]}"
