movieCd,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,openDt,movieNm_detail,movieNmEn,showTm,prdtYear,genres,nations,directors,actors,distributors,누적관람객수,log_누적관람객수,log_salesAmt,log_salesAcc,log_audiAcc,log_showCnt,log_scrnCnt,days_since_open,sales_per_screen,sales_per_show,screen_per_show,has_main_director,has_main_actor,has_main_genre,google_keyword,google_trend_max,google_trend_ratio,overview,plot_sentiment_score,log_google_trend_ratio,plot_emotion_sadness,plot_emotion_neutral,plot_emotion_fear,plot_emotion_disgust,plot_emotion_anger,plot_emotion_joy,plot_emotion_surprise
20244883,894146610,28.2,883538610,8329.0,915362610.0,100175,99551,15953.7,101423,1274,4649,2025-04-30,2025-04-30,썬더볼츠＊,Thunderbolts*,126,2025,"['액션', '어드벤처']",미국,['제이크 슈레이어'],"['플로렌스 퓨', '세바스찬 스탠', '와이어트 러셀', '올가 쿠릴렌코', '크리스 바우어']",월트디즈니컴퍼니코리아 유한책임회사,100175,11.51468392,20.61138031,20.63483084,11.52706503,8.444622499,7.150701458,0,701841.9231,192330.955,0.274037427,0,0,1,썬더볼츠＊,100,103.5985496,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",0.9970890879631042,4.650129685377899,0.6189756393432617,0.23322848975658417,0.05640000104904175,0.04712889716029167,0.03865594044327736,0.003548824694007635,0.0020621877629309893
20253280,1767137970,38.2,1767137970,100.0,2015563670.0,185890,185890,100.0,207074,1420,5821,2025-04-26,2025-04-26,A MINECRAFT MOVIE 마인크래프트 무비,A MINECRAFT MOVIE,100,2025,"['어드벤처', '판타지']",미국,['자레드 헤스'],"['제이슨 모모아', '잭 블랙']",워너브러더스 코리아(주),185890,12.13291576,21.29262711,21.42416473,12.24083633,8.669399124,7.259116128,0,1244463.359,303579.7921,0.243944339,0,0,1,A MINECRAFT MOVIE 마인크래프트 무비,0,0.0,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",0.9997618794441224,0.0,0.004243828821927309,0.1450330913066864,0.12001306563615799,0.005059758201241493,0.0102742500603199,0.004924145992845297,0.7104518413543701
20249250,6116700,0.6,1597300,35.3,387420120.0,689,170,32.8,42312,122,141,2025-04-16,2025-04-16,브리짓 존스의 일기: 뉴 챕터,Bridget Jones: Mad About the Boy,124,2025,"['코미디', '멜로/로맨스', '드라마']",영국,['마이클 모리스'],"['르네 젤위거', '휴 그랜트', '엠마 톰슨', '치웨텔 에지오포', '레오 우달']",유니버설픽쳐스인터내셔널 코리아(유),28698,10.26461756,15.62653346,19.77502025,10.65284965,4.955827058,4.812184355,0,50136.88525,43380.85106,0.865248227,0,0,1,브리짓 존스의 일기: 뉴 챕터,0,0.0,"Bridget Jones navigates life as a widow and single mum with the help of her family, friends, and former lover, Daniel. Back to work and on the apps, she's pursued by a younger man and maybe – just maybe – her son's science teacher.",0.9978027939796448,0.0,0.2546863257884979,0.6389046311378479,0.02368171326816082,0.03354375809431076,0.010527413338422775,0.023134805262088776,0.01552132610231638
20249269,16801400,1.1,2342100,16.2,80338960.0,1955,230,13.3,9232,266,365,2025-04-16,2025-04-16,마리아,MARIA,122,2024,['드라마'],영국,['파블로 라라인'],"['안젤리나 졸리', '피에르프란체스코 파비노', '알바 로르와처']",판씨네마(주),6613,8.796943894,16.63697283,18.20176525,9.130539302,5.902633333,5.587248658,0,63163.15789,46031.23288,0.728767123,0,0,0,마리아,0,0.0,"Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity and life.",0.982191264629364,0.0,0.7702710032463074,0.06494204699993134,0.10481571406126022,0.01534609030932188,0.0334019772708416,0.00825622770935297,0.002966952743008733
20253093,9294200,1.0,-4654900,-33.4,232793100.0,1369,-454,-24.9,29400,118,182,2025-04-02,2025-04-02,헤레틱,Heretic,111,2024,"['스릴러', '공포(호러)']",미국,"['스콧 벡', '브라이언 우즈']","['휴 그랜트', '소피 대처']",(주)이놀미디어|롯데컬처웍스(주)롯데시네마,28810,10.26851254,16.04490122,19.26566064,10.28878397,5.209486153,4.779123493,0,78764.40678,51067.03297,0.648351648,0,0,1,헤레틱,0,0.0,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",0.9734365344047546,0.0,0.025241253897547722,0.025856031104922295,0.6159552335739136,0.25637805461883545,0.06634607911109924,0.0036254641599953175,0.006597822532057762
20243562,13563580,1.4,-537100,-3.8,1659911270.0,1617,-28,-1.7,176052,316,409,2025-03-19,2025-03-19,백설공주,SNOW WHITE,108,2024,"['판타지', '뮤지컬']",미국,['마크 웹'],"['레이첼 지글러', '갤 가돗']",월트디즈니컴퍼니코리아 유한책임회사,175338,12.07447652,16.42289889,21.23002999,12.07854037,6.01615716,5.758901774,0,42922.72152,33162.78729,0.772616137,0,0,0,백설공주,0,0.0,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",-0.7884266972541809,0.0,0.10352994501590729,0.09422334283590317,0.30333805084228516,0.21028102934360504,0.27559250593185425,0.005853598937392235,0.007181497290730476
20251552,12148900,1.9,-12036100,-49.8,144318700.0,1286,-1114,-46.4,14680,280,331,2025-03-19,2025-03-19,컴패니언,Companion,96,2024,['스릴러'],미국,['드류 행콕'],"['소피 대처', '잭 퀘이드', '루카스 게이지', '메건 수리', '하비 길렌']",워너브러더스 코리아(주),1286,7.160069208,16.31274927,18.78753461,9.59430942,5.805134969,5.638354669,0,43388.92857,36703.62538,0.84592145,0,0,1,컴패니언,0,0.0,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",0.9967053532600404,0.0,0.002629451919347048,0.01970970444381237,0.9448967576026917,0.01503556314855814,0.004347153007984161,0.0018013333901762962,0.011579964309930801
20249564,35311700,1.3,-7957100,-18.4,216551400.0,3659,-850,-18.9,24010,439,725,2025-03-12,2025-03-12,노보케인,Novocaine,109,2025,"['액션', '코미디']",미국,"['댄 버크', '로버트 올슨']","['잭 퀘이드', '엠버 미드썬더', '레이 니콜슨', '제이콥 배덜런']",롯데컬처웍스(주)롯데엔터테인먼트,23303,10.0563803,17.37972494,19.1933385,10.08626734,6.587550015,6.086774727,0,80436.67426,48705.7931,0.605517241,0,0,1,노보케인,100,3342857.143,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",0.998857855796814,15.022336730460609,0.6235548257827759,0.04125557094812393,0.0950266420841217,0.12412350624799728,0.10323934257030487,0.0012387174647301435,0.011561283841729164
20252551,6637700,0.9,1393100,26.6,100245300.0,817,210,34.6,13570,154,225,2025-03-12,2025-03-12,화이트 버드,White Bird,121,2023,['드라마'],미국,['마크 포스터'],['미국무명배우'],주식회사 올랄라스토리,5792,8.664405571,15.70827623,18.42313075,9.515690442,5.420534999,5.043425117,0,43101.94805,29500.88889,0.684444444,0,0,0,화이트 버드,0,0.0,"After being expelled from Beecher Prep for his treatment of a classmate with a facial deformity, Julian has struggled to fit in at his new school. To transform his life, Julian's grandmother finally reveals her own story of courage of her youth in Nazi-occupied France, where a classmate shelters her from mortal danger.",0.9972779154777528,0.0,0.04554152488708496,0.24969737231731415,0.5079973340034485,0.1171652302145958,0.02655866928398609,0.04982426390051842,0.003215576522052288
20249251,186729200,6.1,-19387440,-9.4,704167680.0,19354,-2031,-9.5,75092,623,1115,2025-03-05,2025-03-05,콘클라베,Conclave,120,2024,"['드라마', '스릴러']",미국,['에드워드 버거'],"['랄프 파인즈', '스탠리 투치', '존 리스고', '이사벨라 로셀리니']",(주)디스테이션,70479,11.16308426,19.04517,20.37252707,11.22648262,7.017506143,6.436150368,0,299725.8427,167470.1345,0.558744395,0,0,1,콘클라베,0,0.0,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",-0.5807609558105469,0.0,0.06458797305822372,0.08654053509235382,0.6490775346755981,0.08066179603338242,0.10320819169282913,0.004004439804702997,0.011919466778635979
20241389,15550600,1.2,15550600,100.0,15550600.0,2371,2371,100.0,2371,209,388,2025-03-05,2025-03-05,보더랜드,Borderlands,100,2024,"['판타지', '액션', '코미디']",미국,['일라이 로스'],"['케이트 블란쳇', '케빈 하트', '잭 블랙', '아리나 그린블랫', '제이미 리 커티스']",(주)누리픽쳐스,2371,7.77148876,16.55960985,16.55960985,7.77148876,5.963579344,5.347107531,0,74404.78469,40078.86598,0.538659794,0,0,1,보더랜드,0,0.0,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",0.9995633959770204,0.0,0.006862323265522718,0.6010534167289734,0.2530391812324524,0.01797725073993206,0.04088905453681946,0.03527797758579254,0.04490075260400772
20244821,775100720,61.7,-17819720,-2.2,14517771260.0,80034,-2448,-3.0,1465487,1815,6531,2025-02-28,2025-02-28,미키 17,Mickey 17,136,2025,"['어드벤처', 'SF', '드라마', '코미디']",미국,['봉준호'],"['로버트 패틴슨', '나오미 애키', '스티븐 연', '토니 콜렛', '마크 러팔로']",워너브러더스 코리아(주),1459141,14.19335915,20.46850354,23.39863934,14.19769885,8.784468454,7.504391559,0,427052.7383,118680.2511,0.277905374,0,0,1,미키 17,0,0.0,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",0.9980700612068176,0.0,0.07942833006381989,0.48777884244918823,0.0759051963686943,0.08663459867238998,0.04793974757194519,0.016418028622865677,0.20589520037174225
20240147,51826280,4.4,-38308880,-42.5,172742940.0,5353,-5743,-51.8,19263,431,851,2025-02-26,2025-02-26,컴플리트 언노운,A Complete Unknown,140,2024,['드라마'],미국,['제임스 맨골드'],"['티모시 샬라메', '에드워드 노튼', '엘 패닝', '모니카 바바로', '보이드 홀브룩']",월트디즈니컴퍼니코리아 유한책임회사,16449,9.708080756,17.76340793,18.96731516,9.865993348,6.747586527,6.068425588,0,120246.5893,60900.44653,0.506462985,0,0,0,컴플리트 언노운,100,4614285.714,"Tom’s birthday dinner party is turned upside down by the unexpected arrival of Alice, an old flame who changed her identity and vanished without a trace 15 years prior.",-0.9624884128570556,15.344667855793896,0.010167112573981285,0.03845302760601044,0.012156632728874683,0.0007292383234016597,0.011130533181130886,0.025350794196128845,0.9020127058029175
20244361,22618620,2.1,21511620,1943.2,27784620.0,3227,3104,2523.6,3801,144,453,2025-02-19,2025-02-19,히어,HERE,103,2024,['드라마'],미국,['로버트 저메키스'],"['톰 행크스', '로빈 라이트', '폴 베타니', '켈리 라일리']",메가박스중앙(주)|(주)이놀미디어,3227,8.079618029,16.93428406,17.13999322,8.243282523,6.118097198,4.976733742,0,157073.75,49930.72848,0.317880795,0,0,0,히어,0,0.0,"An odyssey through time and memory, centered on a place in New England where—from wilderness, and then, later, from a home—love, loss, struggle, hope and legacy play out between couples and families over generations.",0.99966299533844,0.0,0.3493563234806061,0.14181937277317047,0.44014760851860046,0.013483339920639992,0.013012227602303028,0.03107425943017006,0.011106789112091064
