movieCd,movieNm_box,rank,rankInten,rankOldAndNew,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,showRange,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20161725,마스터,1,0,OLD,4399793100,46.3,-183705150,-4.0,44184434165,506299,-31485,-5.9,5441619,1245,5721,2017-01-01,,마스터,Master,,142,2016,20161221,개봉,장편,,,,액션|범죄,한국,조의석,이병헌|강동원|김우빈|엄지원|오달수,영화사 집,(주)씨제이이엔엠
20163183,로그 원: 스타워즈 스토리,2,0,OLD,1612424700,17.0,-351990650,-17.9,6739961794,173451,-40093,-18.8,769938,810,3335,2017-01-01,,로그 원: 스타워즈 스토리,ROGUE ONE: A STAR WARS STORY,,133,2016,20161228,개봉,장편,,,,액션|어드벤처|판타지|SF,미국,가렛 에드워즈,펠리시티 존스|디에고 루나|매즈 미켈슨|리즈 아메드|포레스트 휘테커,,월트디즈니컴퍼니코리아 유한책임회사
20162025,씽,3,0,OLD,943975500,9.9,-118258900,-11.1,9147833289,115152,-18516,-13.9,1178327,721,1755,2017-01-01,,씽,Sing,,107,2016,20161221,개봉,장편,,,,애니메이션|뮤지컬,미국,가스 제닝스,매튜 매커너히|리즈 위더스푼|스칼렛 요한슨|태런 에저튼|세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유)
20144641,판도라,4,1,OLD,736891900,7.7,-35339100,-4.6,34692290064,87966,-6799,-7.2,4401830,576,1476,2017-01-01,,판도라,Pandora,,135,2016,20161207,개봉,장편,,,,드라마|스릴러,한국,박정우,김남길|김영애|문정희|정진영|이경영,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW)
20167904,라라랜드,5,-1,OLD,770889600,8.1,-162044100,-17.4,20767028832,87529,-21007,-19.4,2472637,590,1578,2017-01-01,,라라랜드,LA LA LAND,,127,2016,20161207,개봉,장편,,,,드라마|뮤지컬|멜로/로맨스,미국,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록|J.K. 시몬스|로즈마리 드윗,,판씨네마(주)
20161872,너의 이름은.,6,0,OLD,325811500,3.4,31854500,10.8,640998500,37418,3245,9.5,74181,275,342,2017-01-01,,너의 이름은.,your name.,君の名は。,106,2016,20170104,개봉,장편,,,,애니메이션|드라마|멜로/로맨스,일본,신카이 마코토,카미키 류노스케|카미시라이시 모네|나가사와 마사미|이치하라 에수코|유키 아오이,,메가박스중앙(주) 플러스엠 엔터테인먼트
20162727,루돌프와 많이있어,7,0,OLD,243890000,2.6,-23742600,-8.9,926773600,29910,-4074,-12.0,119420,372,581,2017-01-01,,루돌프와 많이있어,Rudolf the Black Cat,ルドルフとイッパイアッテナ,88,2016,20161228,개봉,장편,,,,애니메이션,일본,유야마 쿠니히코|사카키바라 모토노리,김율|신용우|이노우에 마오|스즈키 료헤이|홍범기,,(주)씨제이이엔엠
20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,8,0,OLD,154931400,1.6,-31745800,-17.0,1821568800,19405,-4703,-19.5,238452,300,422,2017-01-01,,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,,ポケモン・ザ・ムービーＸＹ＆Z　「ボルケニオンと機巧（からくり）のマギアナ」,94,2016,20161222,개봉,장편,,,,애니메이션|어드벤처|판타지|가족,일본,유야마 쿠니히코,,,(주)이수C&E
20152371,"당신, 거기 있어줄래요",9,0,OLD,166222000,1.7,-30383700,-15.5,9165307248,18630,-4126,-18.1,1143445,261,572,2017-01-01,,"당신, 거기 있어줄래요",Will You Be There?,,110,2016,20161214,개봉,장편,,,,판타지|드라마,한국,홍지영,김윤석|변요한|채서진|김상호|안세하,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트
20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,10,1,OLD,28628400,0.3,-7085700,-19.8,482548500,3552,-985,-21.7,62699,97,107,2017-01-01,,극장판 도라에몽: 신 진구의 버스 오브 재팬,Doraemon The Movie : Nobita and The Birth of Japan,映画ドラえもん 新・のび太の日本誕生,103,2016,20161221,개봉,장편,,,,애니메이션,일본,야쿠와 신노스케,채민지|김정아|최낙윤|이현주|조현정,,(주)넥스트엔터테인먼트월드(NEW)
20161725,마스터,1,0,OLD,1404122100,41.9,-2995671000,-68.1,45588556265,183423,-322876,-63.8,5625042,1161,5381,2017-01-02,,마스터,Master,,142,2016,20161221,개봉,장편,,,,액션|범죄,한국,조의석,이병헌|강동원|김우빈|엄지원|오달수,영화사 집,(주)씨제이이엔엠
20162025,씽,2,1,OLD,510182500,15.2,-433793000,-46.0,9658015789,70667,-44485,-38.6,1248994,647,1718,2017-01-02,,씽,Sing,,107,2016,20161221,개봉,장편,,,,애니메이션|뮤지컬,미국,가스 제닝스,매튜 매커너히|리즈 위더스푼|스칼렛 요한슨|태런 에저튼|세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유)
