rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm_box,openDt_box,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt_detail,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
1,1,0,OLD,20180290,아쿠아맨,2018-12-19,3482411050,33.8,1154385750,49.6,33936703431,384106,96412,33.5,3875963,1158,4594,20190101,아쿠아맨,AQUAMAN,,143,2018,20181219,개봉,장편,,,,액션,미국|호주,제임스 완,제이슨 모모아|앰버 허드|니콜 키드먼|패트릭 윌슨|윌렘 데포,,워너브러더스 코리아(주)
2,2,0,OLD,20170658,PMC: 더 벙커,2018-12-26,1763943100,17.1,425397650,31.8,11468190467,195859,30733,18.6,1374890,893,3530,20190101,PMC: 더 벙커,Take Point,,124,2018,20181226,개봉,장편,,,,액션,한국,김병우,하정우|이선균|제니퍼 엘|민무제|강신철,(주)퍼펙트스톰필름,(주)씨제이이엔엠
3,3,1,OLD,20185485,보헤미안 랩소디,2018-10-31,1236738450,12.0,378199650,44.1,81247178795,135879,29431,27.6,9360461,732,1872,20190101,보헤미안 랩소디,Bohemian Rhapsody,,134,2018,20181031,개봉,장편,,,,드라마,미국,브라이언 싱어,라미 말렉|조셉 마젤로|마이크 마이어스|루시 보인턴,,월트디즈니컴퍼니코리아 유한책임회사|이십세기폭스코리아(주)
4,4,-1,OLD,20186281,범블비,2018-12-25,1143504700,11.1,264548150,30.1,10899588452,132618,21611,19.5,1299768,766,2519,20190101,범블비,Bumblebee,,113,2018,20181225,개봉,장편,,,,액션|어드벤처|SF,미국,트래비스 나이트,헤일리 스테인펠드|파멜라 애들론|존 시나|피터 쿨렌|케네스 최,,롯데컬처웍스(주)롯데엔터테인먼트
5,5,0,NEW,20184187,언니,2019-01-01,612798450,5.9,612798450,100.0,623953450,66686,66686,100.0,67929,509,1679,20190101,언니,No Mercy,,93,2018,20190101,개봉,장편,,,,액션,한국,임경택,이시영|박세완|이준혁|최진호|강민범,필름에이픽쳐스|(유)조이앤시네마,(주)제이앤씨미디어그룹|TCO(주)더콘텐츠온
6,6,-1,OLD,20175547,스윙키즈,2018-12-19,580947700,5.6,89503150,18.2,10889513302,66173,2513,3.9,1324984,577,1309,20190101,스윙키즈,Swing Kids,,133,2018,20181219,개봉,장편,,,,드라마,한국,강형철,도경수|박혜수|자레드 그라임스|오정세|김민호,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW)
7,7,-1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,490861100,4.8,193316450,65.0,3432402500,60574,18888,45.3,435886,581,1083,20190101,점박이 한반도의 공룡2 : 새로운 낙원,,,93,2018,20181225,개봉,장편,,,,애니메이션,한국,한상호,박희순|라미란|김성균|박중금|장유화,(주)드림써치C&C,(주)넥스트엔터테인먼트월드(NEW)
8,8,-1,OLD,20182421,그린치,2018-12-19,264288100,2.6,78854150,42.5,3939730050,32824,6574,25.0,517888,449,672,20190101,그린치,The Grinch,,89,2018,20181219,개봉,장편,,,,애니메이션|코미디,미국,스콧 모시어,베네딕트 컴버배치,,유니버설픽쳐스인터내셔널 코리아(유)
9,9,0,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,233903600,2.3,109925100,88.7,2382611650,29372,11919,68.3,306578,336,500,20190101,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,103,2018,20181219,개봉,장편,,,,애니메이션,일본,타카하시 와타루,박영남|강희선|김환진|여민정|정유미,,(주)씨제이이엔엠
10,10,-2,OLD,20168773,마약왕,2018-12-19,173524150,1.7,-35881950,-17.1,15958248702,19248,-6521,-25.3,1832842,426,705,20190101,마약왕,The Drug King,,139,2017,20181219,개봉,장편,,,,범죄|드라마,한국,우민호,송강호|조정석|배두나|김소진|김대명,(주)하이브미디어코프,(주)쇼박스
1,1,0,OLD,20180290,아쿠아맨,2018-12-19,873960050,31.1,-2608451000,-74.9,34810663481,105089,-279017,-72.6,3981052,1110,4364,20190102,아쿠아맨,AQUAMAN,,143,2018,20181219,개봉,장편,,,,액션,미국|호주,제임스 완,제이슨 모모아|앰버 허드|니콜 키드먼|패트릭 윌슨|윌렘 데포,,워너브러더스 코리아(주)
2,2,0,OLD,20170658,PMC: 더 벙커,2018-12-26,397485250,14.2,-1366457850,-77.5,11865675717,49300,-146559,-74.8,1424190,819,3311,20190102,PMC: 더 벙커,Take Point,,124,2018,20181226,개봉,장편,,,,액션,한국,김병우,하정우|이선균|제니퍼 엘|민무제|강신철,(주)퍼펙트스톰필름,(주)씨제이이엔엠
3,3,0,OLD,20185485,보헤미안 랩소디,2018-10-31,330326950,11.8,-906411500,-73.3,81577505745,40954,-94925,-69.9,9401415,693,1836,20190102,보헤미안 랩소디,Bohemian Rhapsody,,134,2018,20181031,개봉,장편,,,,드라마,미국,브라이언 싱어,라미 말렉|조셉 마젤로|마이크 마이어스|루시 보인턴,,월트디즈니컴퍼니코리아 유한책임회사|이십세기폭스코리아(주)
4,4,0,OLD,20186281,범블비,2018-12-25,283619450,10.1,-859885250,-75.2,11183207902,35828,-96790,-73.0,1335596,719,2386,20190102,범블비,Bumblebee,,113,2018,20181225,개봉,장편,,,,액션|어드벤처|SF,미국,트래비스 나이트,헤일리 스테인펠드|파멜라 애들론|존 시나|피터 쿨렌|케네스 최,,롯데컬처웍스(주)롯데엔터테인먼트
5,5,0,OLD,20184187,언니,2019-01-01,204752400,7.3,-408046050,-66.6,828705850,24845,-41841,-62.7,92774,529,1700,20190102,언니,No Mercy,,93,2018,20190101,개봉,장편,,,,액션,한국,임경택,이시영|박세완|이준혁|최진호|강민범,필름에이픽쳐스|(유)조이앤시네마,(주)제이앤씨미디어그룹|TCO(주)더콘텐츠온
6,6,0,OLD,20175547,스윙키즈,2018-12-19,179116350,6.4,-401831350,-69.2,11068629652,23104,-43069,-65.1,1348088,587,1353,20190102,스윙키즈,Swing Kids,,133,2018,20181219,개봉,장편,,,,드라마,한국,강형철,도경수|박혜수|자레드 그라임스|오정세|김민호,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW)
