boxofficeType,showRange,showRange_start,showRange_end,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm_box,openDt_box,targerDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,days_after_open,상영지속일수,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt_detail,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,6,6,0,OLD,20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,2023-01-01,162441529,1.8,-25654479,-13.6,3579760605,17049,-2906,-14.6,373832,491,632,18,21,신비아파트 극장판 차원도깨비와 7개의 세계,Shinbi's Haunted House: The Dimension Ghost and the Seven Worlds,,103,2022,20221214,개봉,장편,,,,애니메이션,한국,변영규,김영은|김채하|신용우|조현정|양정화,(주)씨제이이엔엠,(주)씨제이이엔엠
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,6,6,0,OLD,20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,2023-01-02,64552288,2.1,-97889241,-60.3,3644312893,7332,-9717,-57.0,381164,390,512,19,21,신비아파트 극장판 차원도깨비와 7개의 세계,Shinbi's Haunted House: The Dimension Ghost and the Seven Worlds,,103,2022,20221214,개봉,장편,,,,애니메이션,한국,변영규,김영은|김채하|신용우|조현정|양정화,(주)씨제이이엔엠,(주)씨제이이엔엠
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,6,6,0,OLD,20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,2023-01-03,63138250,2.4,-1414038,-2.2,3707451143,7146,-186,-2.5,388310,384,494,20,21,신비아파트 극장판 차원도깨비와 7개의 세계,Shinbi's Haunted House: The Dimension Ghost and the Seven Worlds,,103,2022,20221214,개봉,장편,,,,애니메이션,한국,변영규,김영은|김채하|신용우|조현정|양정화,(주)씨제이이엔엠,(주)씨제이이엔엠
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,1,1,0,OLD,20225061,아바타: 물의 길,2022-12-14,2023-01-01,5546745851,63.2,-1027346873,-15.6,95843585053,429533,-85748,-16.6,7742682,2047,7148,18,21,아바타: 물의 길,Avatar: The Way of Water,,192,2022,20221214,개봉,장편,,,,액션|어드벤처|SF|스릴러,미국,제임스 카메론,조 샐다나|샘 워싱턴|시고니 위버|스티븐 랭|케이트 윈슬렛,,월트디즈니컴퍼니코리아 유한책임회사
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,1,1,0,OLD,20225061,아바타: 물의 길,2022-12-14,2023-01-02,1869536653,60.3,-3677209198,-66.3,97713121706,145308,-284225,-66.2,7887990,1992,6578,19,21,아바타: 물의 길,Avatar: The Way of Water,,192,2022,20221214,개봉,장편,,,,액션|어드벤처|SF|스릴러,미국,제임스 카메론,조 샐다나|샘 워싱턴|시고니 위버|스티븐 랭|케이트 윈슬렛,,월트디즈니컴퍼니코리아 유한책임회사
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,1,1,0,OLD,20225061,아바타: 물의 길,2022-12-14,2023-01-03,1475204233,55.9,-394332420,-21.1,99188325939,113903,-31405,-21.6,8001893,1991,6471,20,21,아바타: 물의 길,Avatar: The Way of Water,,192,2022,20221214,개봉,장편,,,,액션|어드벤처|SF|스릴러,미국,제임스 카메론,조 샐다나|샘 워싱턴|시고니 위버|스티븐 랭|케이트 윈슬렛,,월트디즈니컴퍼니코리아 유한책임회사
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,2,2,0,OLD,20196478,영웅,2022-12-21,2023-01-01,1908571119,21.7,-173788777,-8.3,16442796442,185254,-20082,-9.8,1672933,1099,3563,11,21,영웅,Hero,,120,2022,20221221,개봉,장편,,,,드라마|뮤지컬,한국,윤제균,정성화|김고은|나문희|조재윤|배정남,(주)제이케이필름|(주)씨제이이엔엠,(주)씨제이이엔엠
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,2,2,0,OLD,20196478,영웅,2022-12-21,2023-01-02,653536764,21.1,-1255034355,-65.8,17096333206,68901,-116353,-62.8,1741834,1036,3553,12,21,영웅,Hero,,120,2022,20221221,개봉,장편,,,,드라마|뮤지컬,한국,윤제균,정성화|김고은|나문희|조재윤|배정남,(주)제이케이필름|(주)씨제이이엔엠,(주)씨제이이엔엠
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,2,2,0,OLD,20196478,영웅,2022-12-21,2023-01-03,577090019,21.9,-76446745,-11.7,17673423225,61500,-7401,-10.7,1803334,1016,3556,13,21,영웅,Hero,,120,2022,20221221,개봉,장편,,,,드라마|뮤지컬,한국,윤제균,정성화|김고은|나문희|조재윤|배정남,(주)제이케이필름|(주)씨제이이엔엠,(주)씨제이이엔엠
일별 박스오피스,20230104~20230104,2023-01-04,2023-01-04,4,4,-2,OLD,20196478,영웅,2022-12-21,2023-01-04,458092540,13.7,-118997479,-20.6,18131515765,48340,-13160,-21.4,1851674,858,2461,14,21,영웅,Hero,,120,2022,20221221,개봉,장편,,,,드라마|뮤지컬,한국,윤제균,정성화|김고은|나문희|조재윤|배정남,(주)제이케이필름|(주)씨제이이엔엠,(주)씨제이이엔엠
