rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20180290,아쿠아맨,2018-12-19,3482411050,33.8,1154385750,49.6,33936703431,384106,96412,33.5,3875963,1158,4594,20190101
2,2,0,OLD,20170658,PMC: 더 벙커,2018-12-26,1763943100,17.1,425397650,31.8,11468190467,195859,30733,18.6,1374890,893,3530,20190101
3,3,1,OLD,20185485,보헤미안 랩소디,2018-10-31,1236738450,12.0,378199650,44.1,81247178795,135879,29431,27.6,9360461,732,1872,20190101
4,4,-1,OLD,20186281,범블비,2018-12-25,1143504700,11.1,264548150,30.1,10899588452,132618,21611,19.5,1299768,766,2519,20190101
5,5,0,NEW,20184187,언니,2019-01-01,612798450,5.9,612798450,100,623953450,66686,66686,100,67929,509,1679,20190101
6,6,-1,OLD,20175547,스윙키즈,2018-12-19,580947700,5.6,89503150,18.2,10889513302,66173,2513,3.9,1324984,577,1309,20190101
7,7,-1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,490861100,4.8,193316450,65,3432402500,60574,18888,45.3,435886,581,1083,20190101
8,8,-1,OLD,20182421,그린치,2018-12-19,264288100,2.6,78854150,42.5,3939730050,32824,6574,25,517888,449,672,20190101
9,9,0,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,233903600,2.3,109925100,88.7,2382611650,29372,11919,68.3,306578,336,500,20190101
10,10,-2,OLD,20168773,마약왕,2018-12-19,173524150,1.7,-35881950,-17.1,15958248702,19248,-6521,-25.3,1832842,426,705,20190101
1,1,0,OLD,20180290,아쿠아맨,2018-12-19,873960050,31.1,-2608451000,-74.9,34810663481,105089,-279017,-72.6,3981052,1110,4364,20190102
2,2,0,OLD,20170658,PMC: 더 벙커,2018-12-26,397485250,14.2,-1366457850,-77.5,11865675717,49300,-146559,-74.8,1424190,819,3311,20190102
3,3,0,OLD,20185485,보헤미안 랩소디,2018-10-31,330326950,11.8,-906411500,-73.3,81577505745,40954,-94925,-69.9,9401415,693,1836,20190102
4,4,0,OLD,20186281,범블비,2018-12-25,283619450,10.1,-859885250,-75.2,11183207902,35828,-96790,-73,1335596,719,2386,20190102
5,5,0,OLD,20184187,언니,2019-01-01,204752400,7.3,-408046050,-66.6,828705850,24845,-41841,-62.7,92774,529,1700,20190102
6,6,0,OLD,20175547,스윙키즈,2018-12-19,179116350,6.4,-401831350,-69.2,11068629652,23104,-43069,-65.1,1348088,587,1353,20190102
7,7,0,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,150542800,5.4,-340318300,-69.3,3582945300,21225,-39349,-65,457111,501,843,20190102
8,8,0,OLD,20182421,그린치,2018-12-19,74478500,2.7,-189809600,-71.8,4014208550,10527,-22297,-67.9,528415,370,508,20190102
9,9,0,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,74949850,2.7,-158953750,-68,2457561500,10414,-18958,-64.5,316992,280,383,20190102
10,10,0,OLD,20168773,마약왕,2018-12-19,54248000,1.9,-119276150,-68.7,16012496702,6794,-12454,-64.7,1839636,403,684,20190102
1,1,0,NEW,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,942808600,30.5,942808600,100,985518600,125882,125882,100,130447,962,3269,20190103
2,2,-1,OLD,20180290,아쿠아맨,2018-12-19,664994950,21.5,-208965100,-23.9,35475658431,81399,-23690,-22.5,4062451,1074,3853,20190103
3,3,-1,OLD,20170658,PMC: 더 벙커,2018-12-26,287866850,9.3,-109618400,-27.6,12153542567,35509,-13791,-28,1459699,747,2681,20190103
4,4,-1,OLD,20185485,보헤미안 랩소디,2018-10-31,267494700,8.7,-62832250,-19,81845000445,32889,-8065,-19.7,9434304,652,1711,20190103
5,5,-1,OLD,20186281,범블비,2018-12-25,198721050,6.4,-84898400,-29.9,11381928952,25065,-10763,-30,1360661,656,1921,20190103
6,6,0,OLD,20175547,스윙키즈,2018-12-19,147258350,4.8,-31858000,-17.8,11215888002,19023,-4081,-17.7,1367111,536,1112,20190103
7,7,-2,OLD,20184187,언니,2019-01-01,142319650,4.6,-62432750,-30.5,971025500,17227,-7618,-30.7,110001,530,1451,20190103
8,8,-1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,93835800,3.0,-56707000,-37.7,3676781100,13291,-7934,-37.4,470402,369,525,20190103
9,9,0,NEW,20176251,내안의 그놈,2019-01-09,39013000,1.3,39013000,100,157549000,4807,4807,100,19978,25,26,20190103
10,10,-1,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,30272350,1.0,-44677500,-59.6,2487833850,4200,-6214,-59.7,321192,148,180,20190103
1,1,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,944568145,28.1,1759545,0.2,1930086745,114355,-11527,-9.2,244802,1123,3698,20190104
2,2,0,OLD,20180290,아쿠아맨,2018-12-19,849423421,25.3,184428471,27.7,36325081852,94390,12991,16,4156841,1094,3956,20190104
3,3,1,OLD,20185485,보헤미안 랩소디,2018-10-31,351188900,10.5,83694200,31.3,82196189345,38528,5639,17.1,9472832,657,1828,20190104
4,4,-1,OLD,20170658,PMC: 더 벙커,2018-12-26,320063717,9.5,32196867,11.2,12473606284,36003,494,1.4,1495702,732,2582,20190104
5,5,0,OLD,20186281,범블비,2018-12-25,253711862,7.6,54990812,27.7,11635640814,29301,4236,16.9,1389962,657,1909,20190104
6,6,0,OLD,20175547,스윙키즈,2018-12-19,150405100,4.5,3146750,2.1,11366293102,17369,-1654,-8.7,1384480,524,1090,20190104
7,7,0,OLD,20184187,언니,2019-01-01,156446000,4.7,14126350,9.9,1127471500,17202,-25,-0.1,127203,510,1330,20190104
8,8,0,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,91450550,2.7,-2385250,-2.5,3768231650,11503,-1788,-13.5,481905,375,522,20190104
9,9,1,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,31924700,1.0,1652350,5.5,2519758550,3967,-233,-5.5,325159,154,194,20190104
10,10,5,OLD,20183238,스파이더맨: 뉴 유니버스,2018-12-12,35810750,1.1,10129900,39.4,5531061626,3929,792,25.2,666176,100,168,20190104
1,1,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,2200001603,30.8,1255433458,132.9,4130088348,268326,153971,134.6,513128,1393,4712,20190105
2,2,0,OLD,20180290,아쿠아맨,2018-12-19,1904787577,26.7,1055364156,124.2,38229869429,209224,114834,121.7,4366065,1123,4004,20190105
