movieCd,movieNm_box,rank,rankInten,rankOldAndNew,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,openDt_box,showRange,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt_detail,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20145141,위플래쉬,4,37,OLD,193948100,9.1,192967600,19680.5,442805500,25816,25700,22155.2,57856,326,1457,2015-03-12,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,4,0,OLD,329154500,11.5,135206400,69.7,771960000,40350,14534,56.3,98206,339,1534,2015-03-13,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,4,0,OLD,835029700,12.5,505875200,153.7,1606989700,101773,61423,152.2,199979,409,1641,2015-03-14,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,4,0,OLD,768694300,14.2,-66335400,-7.9,2375684000,94618,-7155,-7.0,294597,436,1684,2015-03-15,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,3,1,OLD,265226500,17.5,-503467800,-65.5,2640910500,35004,-59614,-63.0,329601,398,1705,2015-03-16,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,3,0,OLD,276529100,19.1,11302600,4.3,2917439600,36385,1381,3.9,365986,425,1728,2015-03-17,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,2,1,OLD,329297300,20.7,52768200,19.1,3246736900,43163,6778,18.6,409149,435,1840,2015-03-18,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,2,0,OLD,316058400,18.9,-13238900,-4.0,3562795300,41600,-1563,-3.6,450749,430,1868,2015-03-19,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,1,1,OLD,543266146,22.6,227207746,71.9,4106061446,66186,24586,59.1,516935,473,2021,2015-03-20,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,1,0,OLD,1335238770,24.4,791972624,145.8,5441300216,162401,96215,145.4,679336,558,2439,2015-03-21,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,1,0,OLD,1192575200,24.3,-142663570,-10.7,6633875416,145836,-16565,-10.2,825172,574,2440,2015-03-22,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
20145141,위플래쉬,1,0,OLD,311419500,23.4,-881155700,-73.9,6945294916,40947,-104889,-71.9,866119,504,2258,2015-03-23,2015-03-12,,위플래쉬,Whiplash,,106,2014,20150312,개봉,장편,,,,드라마,미국,데이미언 셔젤,마일즈 텔러|J.K. 시몬스,,(주)넥스트엔터테인먼트월드(NEW)|워터홀컴퍼니(주)|(주)쇼박스
