movieCd,movieNm_box,rank,rankInten,rankOldAndNew,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,showRange,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20192567,원더 우먼 1984,1,0,OLD,274407080,51.4,41920830,18.0,3764838540,29884,2462,9.0,420870,1877,4329,2021-01-01,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20202703,뱅가드,2,1,OLD,44924000,8.4,2922600,7.0,124210900,5190,232,4.7,15570,259,516,2021-01-01,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20040725,화양연화,3,-1,OLD,38790050,7.3,-5062310,-11.5,438770750,4314,-878,-16.9,52328,434,607,2021-01-01,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20201002,조제,4,0,OLD,29130490,5.5,-6914350,-19.2,1702558060,3338,-1103,-24.8,189985,472,625,2021-01-01,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
20192193,도굴,5,0,OLD,25599980,4.8,-4481330,-14.9,13790280390,2978,-866,-22.5,1526492,294,353,2021-01-01,,도굴,Collectors,,114,2020,20201104,개봉,장편,,,,범죄,한국,박정배,이제훈|조우진|신혜선|임원희,(주)싸이런픽쳐스,(주)씨제이이엔엠
20202647,나이팅게일,6,0,OLD,19084320,3.6,-1865050,-8.9,59429790,2211,-337,-13.2,7573,307,410,2021-01-01,,나이팅게일,The Nightingale,,136,2018,20201230,개봉,장편,,,,스릴러,호주,제니퍼 켄트,샘 클라플린,,(주)제이앤씨미디어그룹
20202130,빅풋 주니어2: 패밀리가 떴다,7,0,NEW,12584970,2.4,12584970,100.0,12584970,1565,1565,100.0,1565,236,293,2021-01-01,,빅풋 주니어2: 패밀리가 떴다,Bigfoot Family,,85,2020,20210106,개봉,장편,,,,애니메이션,기타,벤 스타센|제레미 드그루손,,,(주)이수C&E
20167904,라라랜드,8,0,OLD,8234000,1.5,-3207000,-28.0,30881366808,1175,-437,-27.1,3743214,33,49,2021-01-01,,라라랜드,LA LA LAND,,127,2016,20161207,개봉,장편,,,,드라마|뮤지컬|멜로/로맨스,미국,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록|J.K. 시몬스|로즈마리 드윗,,판씨네마(주)
20202128,100% 울프: 푸들이 될 순 없어,9,0,OLD,7889510,1.5,-1954090,-19.9,106850730,1009,-318,-24.0,13366,147,164,2021-01-01,,100% 울프: 푸들이 될 순 없어,100% Wolf,,95,2020,20201224,개봉,장편,,,,애니메이션,호주,알렉스 스타더만,,,(주)팝엔터테인먼트
20181983,이웃사촌,10,2,OLD,8455600,1.6,-1000,0.0,3656353560,981,-82,-7.7,425745,143,168,2021-01-01,,이웃사촌,Best Friend,,130,2020,20201125,개봉,장편,,,,드라마|코미디,한국,이환경,정우|오달수|김희원|김병철|조현철,(주)시네마허브|환타지엔터테인먼트,(주)리틀빅픽쳐스|(주)트리니티픽쳐스
20192567,원더 우먼 1984,1,0,OLD,214179450,48.7,-60227630,-21.9,3979017990,22765,-7119,-23.8,443635,1835,4012,2021-01-02,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20040725,화양연화,2,1,OLD,36168690,8.2,-2621360,-6.8,474939440,3976,-338,-7.8,56304,427,611,2021-01-02,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20202703,뱅가드,3,-1,OLD,33300000,7.6,-11624000,-25.9,157510900,3732,-1458,-28.1,19302,261,517,2021-01-02,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20201002,조제,4,0,OLD,26145260,6.0,-2985230,-10.2,1728703320,2917,-421,-12.6,192902,469,597,2021-01-02,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
20192193,도굴,5,0,OLD,21355210,4.9,-4244770,-16.6,13811635600,2375,-603,-20.2,1528867,289,350,2021-01-02,,도굴,Collectors,,114,2020,20201104,개봉,장편,,,,범죄,한국,박정배,이제훈|조우진|신혜선|임원희,(주)싸이런픽쳐스,(주)씨제이이엔엠
20202647,나이팅게일,6,0,OLD,15555350,3.5,-3528970,-18.5,74985140,1776,-435,-19.7,9349,301,398,2021-01-02,,나이팅게일,The Nightingale,,136,2018,20201230,개봉,장편,,,,스릴러,호주,제니퍼 켄트,샘 클라플린,,(주)제이앤씨미디어그룹
20202130,빅풋 주니어2: 패밀리가 떴다,7,0,OLD,8754380,2.0,-3830590,-30.4,21339350,1097,-468,-29.9,2662,202,243,2021-01-02,,빅풋 주니어2: 패밀리가 떴다,Bigfoot Family,,85,2020,20210106,개봉,장편,,,,애니메이션,기타,벤 스타센|제레미 드그루손,,,(주)이수C&E
20167904,라라랜드,8,0,OLD,6840000,1.6,-1394000,-16.9,30888206808,975,-200,-17.0,3744189,35,55,2021-01-02,,라라랜드,LA LA LAND,,127,2016,20161207,개봉,장편,,,,드라마|뮤지컬|멜로/로맨스,미국,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록|J.K. 시몬스|로즈마리 드윗,,판씨네마(주)
20081445,굿바이,9,3,OLD,7855520,1.8,596110,8.2,917429210,837,28,3.5,145874,132,146,2021-01-02,,굿바이,Departures,おくりびと,130,2008,20081030,개봉,장편,,,,드라마,일본,타키타 요지로,모토키 마사히로|히로스에 료코|야마자키 츠토무|요 키미코,,(주)팝엔터테인먼트|(주)드림팩트엔터테인먼트|㈜케이디미디어
20202128,100% 울프: 푸들이 될 순 없어,10,-1,OLD,5999210,1.4,-1890300,-24.0,112849940,787,-222,-22.0,14153,152,168,2021-01-02,,100% 울프: 푸들이 될 순 없어,100% Wolf,,95,2020,20201224,개봉,장편,,,,애니메이션,호주,알렉스 스타더만,,,(주)팝엔터테인먼트
20192567,원더 우먼 1984,1,0,OLD,166049440,46.2,-48130010,-22.5,4145067430,17795,-4970,-21.8,461430,1793,3714,2021-01-03,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20040725,화양연화,2,0,OLD,31791810,8.8,-4376880,-12.1,506731250,3494,-482,-12.1,59798,429,615,2021-01-03,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20202703,뱅가드,3,0,OLD,26995300,7.5,-6304700,-18.9,184506200,3046,-686,-18.4,22348,265,517,2021-01-03,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20201002,조제,4,0,OLD,22839900,6.4,-3305360,-12.6,1751543220,2527,-390,-13.4,195429,446,570,2021-01-03,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
