movieCd,salesAcc,audiAcc,movieNm_box,actors,directors,genres,nations,repNationNm,productionCompanies
19988717,678012940,71897,명탐정 코난: 14번째 표적,,코다마 켄지,애니메이션,일본,,
20051060,1493033540,168709,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,마츠모토 리카|오오타니 이쿠에|우에다 유지,유야마 쿠니히코,애니메이션,일본,,
20080850,13557100,1971,공포분자,무건인|왕 안,에드워드 양,드라마,기타,,
20081375,85617317,10735,샤이닝,잭 니콜슨|셸리 듀발|대니 로이드,스탠리 큐브릭,공포(호러)|스릴러,미국,,워너 브러더스 픽쳐스
20098169,40601955671,4620936,쥬라기 월드,크리스 프랫|주디 그리어|브라이스 달라스 하워드|케이티 맥그라스|제이크 존슨,콜린 트레보로우,액션|어드벤처|SF,미국,,
20100211,2029362300,273264,다이노 타임,멜라니 그리피스|제인 린치|윌리엄 볼드윈|스티븐 볼드윈|롭 슈나이더,존 카프카|최윤석,애니메이션|어드벤처|코미디,한국|미국,,주식회사 토이온
20113252,227195620,25398,톰보이,조 허란,셀린 시아마,드라마,프랑스,,
20124315,177705241,17182,엔드 오브 에반게리온,,안노 히데아키|츠루마키 카즈야,애니메이션,일본,,
20130021,3317041989,425752,"협녀, 칼의 기억",이병헌|전도연|김고은|이경영|김태우,박흥식,사극|액션,한국,,(주)티피에스컴퍼니
20130566,3194054331,406139,무뢰한,김남길|전도연|박성웅|곽도원|강태영,오승욱,멜로/로맨스,한국,,(주)사나이픽처스
20131262,7353194469,948101,허삼관,하정우|하지원|전혜진|장광|주진모,하정우,드라마,한국,,(주)두타연|(주)판타지오픽쳐스
20133681,125244400,17342,태양을 쏴라,강지환|윤진서|안석환|박정민|윤성준,김태식,멜로/로맨스,한국,,필름라인
20133682,1029997700,136793,화장,안성기|김규리|김호정|연우진|김병춘,임권택,드라마,한국,,(주)명필름
20134798,36902007085,4877052,연평해전,김무열|진구|이현우|이완|이한종,김학순,드라마,한국,,(주)로제타시네마
