movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20155563,어린왕자,The Little Prince,Le Petit Prince,106,2015,20151223,개봉,장편,,,,애니메이션|판타지|어드벤처,프랑스,마크 오스본,제프 브리지스|레이첼 맥아담스|매켄지 포이|마리옹 꼬띠아르|제임스 프랭코,,씨네그루(주)다우기술
20143642,테이큰 3,Taken 3,,111,2014,20150101,개봉,장편,,,,액션|범죄|스릴러,미국,올리비에 메가턴,리암 니슨|팜케 얀센|매기 그레이스|존 그리스|포레스트 휘테커,,이십세기폭스코리아(주)
20168891,설리: 허드슨강의 기적,Sully,,95,2016,20160928,개봉,장편,,,,드라마,미국,클린트 이스트우드,톰 행크스|아론 에크하트|로라 린니,,워너브러더스 코리아(주)
20157432,007 스펙터,Spectre,,147,2015,20151111,개봉,장편,,,,액션|어드벤처|범죄|스릴러,영국|미국,샘 멘데스,다니엘 크레이그|레아 세이두|크리스토프 왈츠|모니카 벨루치,,유니버설픽쳐스인터내셔널 코리아(유)
20148493,어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,,141,2014,20150423,개봉,장편,,,,액션|어드벤처|판타지|SF,미국,조스 웨던,로버트 다우니 주니어|크리스 헴스워스|마크 러팔로|크리스 에반스|스칼렛 요한슨,,월트디즈니컴퍼니코리아 유한책임회사|월트디즈니컴퍼니코리아(주)
20144444,아가씨,The Handmaiden,,144,2016,20160601,개봉,장편,,,,스릴러|드라마,한국,박찬욱,김민희|김태리|하정우|조진웅|김해숙,유한회사 아가씨에프에스|모호필름|(주)용필름,(주)씨제이이엔엠
20141060,쓰리 썸머 나잇,Three Summer Night,,106,2014,20150715,개봉,장편,,,,코미디,한국,김상진,김동욱|임원희|손호준|윤제문|류현경,더램프(주)|㈜감독의집,(주)리틀빅픽쳐스|(주)인벤트스톤
20144523,패딩턴,Paddington,,95,2014,20150107,개봉,장편,,,,코미디|가족|어드벤처,영국|프랑스|캐나다,폴 킹,니콜 키드먼|벤 위쇼|휴 보네빌|샐리 호킨스,,롯데쇼핑㈜롯데엔터테인먼트
20157466,"로봇, 소리",SORI: Voice from the Heart,,117,2015,20160127,개봉,장편,,,,드라마,한국,이호재,이성민|이희준|이하늬|김원해|채수빈,(주)영화사 좋은날|(주)디씨지플러스,롯데쇼핑㈜롯데엔터테인먼트
20143572,뷰티 인사이드,The Beauty Inside,,126,2015,20150820,개봉,장편,,,,판타지|멜로/로맨스,한국,백,한효주|김대명|도지한|배성우|박신혜,(주)용필름,(주)넥스트엔터테인먼트월드(NEW)
20163201,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,OCTONAUTS Season4,,68,2016,20160602,개봉,장편,,,,애니메이션|어드벤처,영국,다라 오코넬,하성용|정재헌|엄상현|윤승희|김정은,,와이드 릴리즈(주)
20148461,살인의뢰,The Deal,,102,2014,20150312,개봉,장편,,,,범죄|스릴러,한국,손용호,김상경|김성균|박성웅|윤승아|조재윤,(주)미인픽쳐스,씨네그루(주)다우기술
20159442,차일드 44,Child 44,,137,2015,20150528,개봉,장편,,,,스릴러,미국,다니엘 에스피노사,톰 하디|게리 올드만|조엘 킨나만|누미 라파스|뱅상 카셀,,(주)넥스트엔터테인먼트월드(NEW)
20148845,스물,Twenty,,115,2014,20150325,개봉,장편,,,,코미디|드라마,한국,이병헌,김우빈|이준호|강하늘|오현경|정소민,(주)영화나무|(주)아이에이치큐,(주)넥스트엔터테인먼트월드(NEW)
20155874,미라클 벨리에,La Famille Belier,,105,2014,20150827,개봉,장편,,,,드라마,프랑스,에릭 라티고,로앤 에머라|카린 비아르|프랑소아 다미앙|에릭 엘모스니노,,(주)영화사 진진
20156360,개구리왕국,Frog Kingdom,青蛙王國,77,2014,20151112,개봉,장편,,,,애니메이션|어드벤처,중국,넬슨 신,,,예지림엔터테인먼트
20151022,걷기왕,Queen of Walking,,92,2016,20161020,개봉,장편,,,,드라마,한국,백승화,심은경|박주희|김새벽|허정도|윤지원,㈜인디스토리,CGV아트하우스
20145021,와일드,Wild,,115,2014,20150122,개봉,장편,,,,드라마,미국,장 마크 발레,리즈 위더스푼|가비 호프만|로라 던,,이십세기폭스코리아(주)
20155277,더 셰프,Burnt,,101,2015,20151105,개봉,장편,,,,드라마,미국,존 웰스,브래들리 쿠퍼|시에나 밀러|오마 사이|다니엘 브륄|엠마 톰슨,,(주)이수C&E
20163183,로그 원: 스타워즈 스토리,ROGUE ONE: A STAR WARS STORY,,133,2016,20161228,개봉,장편,,,,액션|어드벤처|판타지|SF,미국,가렛 에드워즈,펠리시티 존스|디에고 루나|매즈 미켈슨|리즈 아메드|포레스트 휘테커,,월트디즈니컴퍼니코리아 유한책임회사
20150255,리틀드래곤 코코넛,COCONUT THE LITTLE DRAGON,,82,2015,20150702,개봉,장편,,,,애니메이션,독일,허버트 베일란드|니나 웰스,,,(주)영화사 빅
20145501,돌연변이,Collective Invention,,93,2015,20151022,개봉,장편,,,,드라마|코미디,한국,권오광,이광수|이천희|박보영|장광|이병준,영화사 우상,필라멘트픽쳐스
20136063,순수의 시대,Empire of Lust,,113,2015,20150305,개봉,장편,,,,사극|드라마,한국,안상훈,신하균|장혁|강한나|강하늘|양영조,(주)화인웍스|(주)키메이커,(주)씨제이이엔엠
20142641,나를 잊지 말아요,Remember You,,106,2015,20160107,개봉,장편,,,,멜로/로맨스,한국,이윤정,정우성|김하늘|임주은|배성우|장영남,(주)아티스트스튜디오,(주)씨제이이엔엠
20154242,몬스터 호텔 2,Hotel Transylvania 2,,89,2015,20151224,개봉,장편,,,,애니메이션,미국,젠디 타타코브스키,아담 샌들러|셀레나 고메즈|케빈 제임스|스티브 부세미,,유니버설픽쳐스인터내셔널 코리아(유)
20154162,스트레이트 아웃 오브 컴턴,Straight Outta Compton,,146,2015,20150910,개봉,장편,,,,드라마,미국,F. 게리 그레이,오셔 잭슨 주니어|코리 호킨스|제이슨 미첼|닐 브라운 주니어|알디스 호지,,유니버설픽쳐스인터내셔널 코리아(유)
20168822,디시에르토,Desierto,,89,2015,20161005,개봉,장편,,,,드라마|스릴러,멕시코|프랑스,조나스 쿠아론,가엘 가르시아 베르날|제프리 딘 모건|디에고 카타노|마르코 페레즈,,(주)제이앤씨미디어그룹
