,input_text
0,"Title: Rings | Release Date: 2017-02-01 | Overview: Julia becomes worried about her boyfriend Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before. | Directors: F. Javier Gutiérrez | Cast: Matilda Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio, Aimee Teegarden | Genres: Horror | Production Companies: Paramount Pictures, Macari/Edelstein, Parkes+MacDonald Image Nation, Waddieish Claretrap | Production Countries: US"
1,"Title: Bad Boys for Life | Release Date: 2020-01-15 | Overview: Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel. | Directors: Adil El Arbi, Bilall Fallah | Cast: Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Charles Melton | Genres: Thriller, Action, Crime | Production Companies: Columbia Pictures, 2.0 Entertainment, Don Simpson/Jerry Bruckheimer Films, Overbrook Entertainment | Production Countries: US"
2,"Title: Ghostbusters | Release Date: 2016-07-14 | Overview: Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat. | Directors: Paul Feig | Cast: Kristen Wiig, Melissa McCarthy, Kate McKinnon, Leslie Jones, Chris Hemsworth | Genres: Action, Fantasy, Comedy | Production Companies: Ghost Corps, Columbia Pictures, Village Roadshow Pictures, LStar Capital, Feigco Entertainment, Pascal Pictures, The Montecito Picture Company | Production Countries: US"
3,"Title: xXx: Return of Xander Cage | Release Date: 2017-01-13 | Overview: Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons. | Directors: D.J. Caruso | Cast: Vin Diesel, Donnie Yen, Ruby Rose, Toni Collette, Samuel L. Jackson | Genres: Action, Adventure, Crime | Production Companies: Rox Productions, Revolution Studios, Maple Cage Productions, Huahua Media, Roth-Kirschenbaum Films, Shanghai Film Group, One Race, Paramount Pictures | Production Countries: CA, CN, US"
4,"Title: Silence | Release Date: 2016-12-23 | Overview: In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism. | Directors: Martin Scorsese | Cast: Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano, Ciarán Hinds | Genres: Drama, History | Production Companies: Waypoint Entertainment, Cappa Defina Productions, CatchPlay, Fábrica de Cine, SharpSword Films, Sikelia Productions, EFO Films | Production Countries: MX, TW, US"
5,"Title: Mad Max: Fury Road | Release Date: 2015-05-13 | Overview: An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. | Directors: George Miller | Cast: Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman | Genres: Action, Adventure, Science Fiction | Production Companies: Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Mitchell, RatPac Entertainment | Production Countries: AU, US"
6,"Title: Avatar: The Way of Water | Release Date: 2022-12-14 | Overview: Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure. | Directors: James Cameron | Cast: Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet | Genres: Science Fiction, Adventure, Action | Production Companies: 20th Century Studios, Lightstorm Entertainment | Production Countries: US"
7,"Title: Jupiter Ascending | Release Date: 2015-02-04 | Overview: In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty… | Directors: Lilly Wachowski, Lana Wachowski | Cast: Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth | Genres: Science Fiction, Fantasy, Action | Production Companies: Warner Bros. Pictures, Village Roadshow Pictures, RatPac Entertainment, Anarchos Productions | Production Countries: US"
8,"Title: Terminator Genisys | Release Date: 2015-06-23 | Overview: The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever. | Directors: Alan Taylor | Cast: Emilia Clarke, Jai Courtney, Arnold Schwarzenegger, Jason Clarke, Matt Smith | Genres: Science Fiction, Action, Thriller, Adventure | Production Companies: Paramount Pictures, Skydance Media, Annapurna Pictures | Production Countries: CA, US"
9,"Title: The Only Living Boy in New York | Release Date: 2017-07-27 | Overview: When a young man learns that his overbearing father is having an affair, he tries to stop it, only to be seduced by the older woman as well. | Directors: Marc Webb | Cast: Callum Turner, Jeff Bridges, Kate Beckinsale, Pierce Brosnan, Cynthia Nixon | Genres: Drama | Production Companies: Big Indie Pictures, Bona Fide Productions | Production Countries: US"
10,"Title: Avengers: Age of Ultron | Release Date: 2015-04-22 | Overview: When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. | Directors: Joss Whedon | Cast: Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson | Genres: Action, Adventure, Science Fiction | Production Companies: Marvel Studios | Production Countries: US"
11,"Title: Assassin's Creed | Release Date: 2016-12-21 | Overview: Through a technology that unlocks the generic memories of his ancestor in 15th century Spain, Callum Lynch discovers he is a descendant of an ancient line of Assassins and amasses lethal skills to take on the oppressive Templar Order. | Directors: Justin Kurzel | Cast: Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson, Charlotte Rampling | Genres: Action, Adventure, Science Fiction | Production Companies: New Regency Pictures, The Kennedy/Marshall Company, Ubisoft Film & Television, DMC Film | Production Countries: FR, GB, US"
12,"Title: Alien: Covenant | Release Date: 2017-05-09 | Overview: The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world. | Directors: Ridley Scott | Cast: Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride, Demián Bichir | Genres: Science Fiction, Horror, Thriller | Production Companies: 20th Century Fox, Brandywine Productions, Scott Free Productions | Production Countries: US"
13,"Title: Finding Dory | Release Date: 2016-06-16 | Overview: Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale? | Directors: Andrew Stanton | Cast: Albert Brooks, Ellen DeGeneres, Ed O'Neill, Hayden Rolence, Diane Keaton | Genres: Adventure, Animation, Comedy, Family | Production Companies: Pixar, Walt Disney Pictures | Production Countries: US"
14,"Title: The Hunger Games: Mockingjay - Part 2 | Release Date: 2015-11-18 | Overview: With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games. | Directors: Francis Lawrence | Cast: Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks | Genres: Action, Adventure, Science Fiction | Production Companies: Lionsgate, Color Force, Studio Babelsberg | Production Countries: DE, US"
15,"Title: Jurassic World | Release Date: 2015-06-06 | Overview: Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond. | Directors: Colin Trevorrow | Cast: Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins | Genres: Action, Adventure, Science Fiction, Thriller | Production Companies: Amblin Entertainment, Universal Pictures | Production Countries: US"
16,"Title: Trolls | Release Date: 2016-10-13 | Overview: After the monstrous Bergens invade Troll Village, Princess Poppy, the happiest Troll ever born, and overly-cautious, curmudgeonly outcast Branch set off on a journey to rescue her friends. Their mission is full of adventure and mishaps, as this mismatched duo try to tolerate each other long enough to get the job done. | Directors: Mike Mitchell | Cast: Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse, Christine Baranski | Genres: Family, Animation, Fantasy, Adventure, Comedy, Music | Production Companies: DreamWorks Animation | Production Countries: US"
17,"Title: Smurfs: The Lost Village | Release Date: 2017-03-23 | Overview: In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history. | Directors: Kelly Asbury | Cast: Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer, Danny Pudi | Genres: Family, Comedy, Adventure, Animation | Production Companies: Kerner Entertainment Company, Columbia Pictures, Sony Pictures Animation, LStar Capital, Wanda Pictures | Production Countries: CN, US, BE"
18,"Title: Justice League | Release Date: 2017-11-15 | Overview: Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth. | Directors: Zack Snyder | Cast: Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller | Genres: Action, Adventure, Science Fiction | Production Companies: RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films | Production Countries: US"
19,"Title: Inside Out | Release Date: 2015-06-17 | Overview: When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home. | Directors: Pete Docter | Cast: Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black | Genres: Animation, Family, Adventure, Drama, Comedy | Production Companies: Pixar, Walt Disney Pictures | Production Countries: US"
