movieInfo,movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,nation,nationNm,genres,genre,genreNm,directors,director,peopleNm,peopleNmEn,actors,actor,cast,castEn,showTypes,showType,showTypeGroupNm,showTypeNm,companys,company,companyCd,companyNm,companyNmEn,companyPartNm,audits,audit,auditNo,watchGradeNm,staffs,staff,staffRoleNm,error
,19838068,해탄적일천,"That Day, on the Beach",海灘的一天,166,1983,20220106,개봉,장편,,,대만,,,드라마,,,호인몽,HO In-mong,,,,,,,2D,디지털,,,20160201,(주)에이썸엔터테인먼트,,수입사,,,2021-MF02630,12세이상관람가,,,,
,19910182,늑대와 춤을,Dances With Wolves,,180,1990,19910331,개봉,장편,,,미국,,,드라마,,,마이클 블레이크,Michael Blake,,,주먹쥐고 일어서,,,,2D,디지털,,,20206161,(주)콘텐츠패밀리,CONTENTS FAMILY,제공,,,2021-MF00031,15세이상관람가,,,시나리오(각본),
,19900335,사랑과 영혼,Ghost,,126,1990,19901124,개봉,장편,,,미국,,,멜로/로맨스,,,제인 머스키,Jane Musky,,,,,,,2D,디지털,,,20100040,유아이피-씨아이씨영화및비디오배급(유),UIP Korea,수입사,,,2017-MF02158,15세이상관람가,,,아트디렉터,
,19910247,터미네이터2 3D,Terminator II,Terminator II : Judgment Day,137,1991,19910706,개봉,장편,,,미국,,,스릴러,,,윌리엄 위셔,William Wisher Jr.,,,존 코너,,,,3D,3D 디지털,,,20100963,세경영화㈜,,수입사,,,2019-MF01930,,,,시나리오(각본),
,19528001,사랑은 비를 타고,Singin' in the Rain,,103,1952,,기타,장편,,,미국,,,뮤지컬,,,데비 레이놀즈,Debbie Reynolds,,,케이시 셀든,,,,2D,디지털,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,,,,,,
,19720061,정무문,Fist of Fury,精武門,106,1972,19730727,개봉,장편,,,홍콩,,,액션,,,이곤,Lee Kwan,,,,,,,2D,디지털,,,20122497,(유)조이앤컨텐츠그룹,JOY N CONTENTS GROUP,수입사,,,2013-MF00532,15세이상관람가,,,,
,19890291,해리가 샐리를 만났을 때,When Harry Met Sally,,95,1988,19891118,개봉,장편,,,미국,,,멜로/로맨스,,,제인 머스키,Jane Musky,,,샐리 앨브라이트,,,,2D,디지털,,,20100980,현진필름,,수입사,,,2016-MF01776,15세이상관람가,,,아트디렉터,
,19888010,시네마 천국,Cinema Paradiso,Nuovo Cinema Paradiso,124,1988,19900707,개봉,장편,,,이탈리아,,,멜로/로맨스,,,김수진,KIM Soo-jin,,,중년 엘레나 ,,,,2D,디지털 4K,,,20123058,그린나래미디어(주),GREEN NARAE MEDIA,수입사,,,89-397,전체관람가,,,투자,
,19880001,이웃집 토토로,My Neighbor Totoro,となりの トトロ,87,1988,20010728,개봉,장편,,,일본,,,드라마,,,사카모토 치카,Chika Sakamoto ,,,,,,,2D,디지털 더빙,,,20111081,(주)스마일이엔티,Smile Ent.,제공,,,2001-F192,전체관람가,,,,
,19940116,쉰들러 리스트,Schindler's List,,196,1993,19940305,개봉,장편,,,미국,,,전쟁,,,스티븐 자일리언,Steven Zaillian,,,아몬 괴트,,,,2D,디지털,,,20100040,유아이피-씨아이씨영화및비디오배급(유),UIP Korea,수입사,,,2019-MF00042,15세이상관람가,,,시나리오(각본),
,19968109,로미오와 줄리엣,Romeo And Juliet,,120,1996,19961228,개봉,장편,,,미국,,,드라마,,,클레어 데인즈,Claire Danes,,,,,,,2D,디지털,,,20122497,(유)조이앤컨텐츠그룹,JOY N CONTENTS GROUP,수입사,,,96-431,고등학생이상관람가,,,,
,19980074,타이타닉,Titanic,,194,1997,19980220,개봉,장편,,,미국,,,액션,,,케이트 윈슬렛,Kate Winslet,,,,,,,DOLBYCINEMA,DOLBYCINEMA 3D,,,20040021,씨네힐,CINEHILL,수입사,,,2023-MF00308 ,15세이상관람가,,,,
,19980231,트루먼 쇼,The Truman Show,,102,1998,19981024,개봉,장편,,,미국,,,판타지,,,에드 해리스,Ed Harris,,,,,,,2D,디지털,,,20175001,주식회사 해리슨앤컴퍼니,Harrison & Company,수입사,,,2018-MF00689,12세이상관람가,,,,
,19930117,하워즈 엔드,Howards End,,142,1993,19930410,개봉,장편,,,영국,,,멜로/로맨스,,,토니 피어스 로버츠,Tony Pierce-Roberts,,,찰스 윌콕스,,,,2D,디지털 4K,,,20100758,화성영화,,수입사,,,2020-MF01486,12세이상관람가,,,촬영,
,19978805,큐어,Cure,キュア,111,1997,20220706,개봉,장편,,,일본,,,공포(호러),,,야쿠쇼 코지,Koji Yakusho,,,,,,,2D,디지털,,,20168613,엠엔엠인터내셔널(주),M&M International Inc.,수입사,,,2004-F149,15세관람가,,,,
,19990050,박하사탕,A Peppermint Candy,,130,1999,20000101,개봉,장편,,,한국,,,드라마,,,김영덕,KIM Ellen Y.D.,,,여자 1,,,,2D,디지털 4K,,,20061355,드림벤처캐피탈,,제공,,,2018-MF00741,청소년관람불가,,,홍보/마케팅 진행,
,20000067,러브레터,Love Letter,ラブレタ?,117,1995,19991120,개봉,장편,,,일본,,,드라마,,,사카이 미키,Miki Sakai,,,,,,,2D,디지털,,,20122497,(유)조이앤컨텐츠그룹,JOY N CONTENTS GROUP,수입사,,,2024-MF03209 ,전체관람가,,,,
,19988717,명탐정 코난: 14번째 표적,"DETECTIVE CONAN, The Fourteenth Target",名探偵コナン 14番目の標的,99,1998,20250214,개봉,장편,,,일본,,,애니메이션,,,코다마 켄지,Kenji Kodama,,,,,,,2D,디지털,,,20110854,(주)씨제이이엔엠,CJ ENM Corp.,수입사,,,2025-MF00176 ,12세이상관람가,,,,
,19990220,노팅 힐,Notting Hill,Notting Hill,124,1999,19990703,개봉,장편,,,영국,,,코미디,,,휴 그랜트,Hugh Grant,,,윌리엄 대커,,,,2D,디지털,,,20101507,이십세기폭스필름코퍼레이션,20th Century Fox Film Corporation,수입사,,,99-F039,12세관람가,,,,
,20010083,반지의 제왕 : 반지원정대,The Lord Of The Rings : The Fellowship Of The Rings,,227,2001,20011231,개봉,장편,,,미국,,,드라마,,,휴고 위빙,Hugo Weaving,,,엘론드,,,,IMAX,IMAX,,,20100057,㈜에스앤엠코리아,S&M Korea,수입사,,,2001-F366,12세관람가,,,,
,20010007,고양이를 부탁해,Take Care of My Cat,,112,2001,20011012,개봉,장편,,,한국,,,드라마,,,노영길,,,,팀장,,,,2D,디지털,,,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",해외세일즈사,,,2001-F289,12세관람가,,,운송,
,20000152,바스켓볼 다이어리,Basketball Diaries,,102,1995,20000429,개봉,장편,,,미국,,,드라마,,,마크 월버그,Mark Wahlberg,,,미키,,,,2D,디지털,,,20100012,(주)신도필림,,수입사,,,2000-F081,18세관람가,,,,
,20010241,브리짓 존스의 일기,Bridget Jones's Diary,,97,2001,20010901,개봉,장편,,,영국,,,코미디,,,휴 그랜트,Hugh Grant,,,,,,,2D,디지털,,,20100649,UIP코리아,United International Pictures Korea,수입사,,,2021-MF01225,15세이상관람가,,,,
,20010013,봄날은 간다,One Fine Spring Day,,113,2001,20010928,개봉,장편,,,한국,,,드라마,,,김미라,,,,작은 할머니,,,,2D,디지털,,,20111031,데몰리션,DEMOLITION STUDIO,제작서비스-시각효과/특수효과,,,2001-F266,15세관람가,,,식당차,
,20010264,아멜리에,Amelie Of Montmartre,Le Fabuleux Destins d`Amelie Poulain,121,2001,20011019,개봉,장편,,,프랑스,,,판타지,,,마티유 카소비츠,Mathieu Kassovitz,,,,,,,2D,디지털,,,20100301,(주)제이엔엔터테인먼트,,수입사,,,2021-MF02270,15세이상관람가,,,,
,19900204,죽은 시인의 사회,Dead Poets Society,,128,1989,19900519,개봉,장편,,,미국,,,드라마,,,샌디 베네지아노,Sandy Veneziano,,,,,,,2D,디지털,,,2016621,(주)아이아스플러스,AIASPLUS Inc.,수입사,,,2016-MF01113,12세이상관람가,,,아트디렉터,
