kobis_movieCd,kobis_movieNm_box,kobis_audiAcc,kobis_openDt,kobis_prdtYear,kobis_genres,kobis_nations,kobis_directors,kobis_actors,kobis_productionCompanies,kobis_distributors,movie_title,movie_release_date,movie_imdb_id,movie_tmdb_id,movie_overview,movie_origin_country,movie_directors,movie_cast_top5,movie_genres,movie_production_companies,movie_production_countries,movie_overview_en
20193069,#살아있다,1903703,20200624,2019,드라마,한국,조일형,유아인|박신혜|전배수|김학선|김현우,영화사 집|(주)퍼스펙티브픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,#살아있다,2020-06-24,tt10620868,614696,"원인불명 증세의 사람들의 공격에 통제불능에 빠진 도시. 영문도 모른 채 잠에서 깬 준우는 아무도 없는 집에 혼자 고립된 것을 알게 된다. 데이터, 와이파이, 문자, 전화 모든 것이 끊긴 채 고립된 상황. 연락이 두절된 가족에 이어 최소한의 식량마저 바닥이 나자 더 이상 버티기 힘들어진 준우. 하지만 그 순간 건너편 아파트에서 누군가 시그널을 보내온다. 또 다른 생존자 유빈이 아직 살아있음을 알게 된 준우는 함께 살아남기 위한 방법을 찾아 나서는데...",KR,Cho Il,"유아인, 박신혜, 이현욱, Jin So-yeon, 김학선","액션, 공포","Lotte Entertainment, Zip Cinema, Perspective Pictures",KR,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
20197277,#아이엠히어,14393,20210114,2019,멜로/로맨스|코미디,프랑스,에릭 라티고,알랭 샤바|배두나|이명자|선종남|김자금,,(주)넥스트엔터테인먼트월드(NEW),아이 엠 히어,2015-06-12,tt3004746,289191,"아이를 기다린 지 10년, 8번의 유산, 2분 간의 심정지 끝에 또 한번 아이를 잃은 ‘마리아’. 재산, 남편, 직업 모든 것이 완벽하지만 아이가 없는 삶은 미완성이라고 생각하는 그녀. 독일과 체코 국경 부근에 어린아이들이 위험에 처해있다는 이야기를 듣고 무작정 차의 시동을 걸었다. 아이에 대한 간절함으로 자신의 마지막 꿈을 이루기 위해 절망적인 선택을 하게 된 ‘마리아’는 예상치 못한 파국으로 치닫게 된다.",US,Anders Morgenthaler,"킴 베이싱어, Jordan Prentice, Sebastian Schipper, 피터 스토메어, Robert Hunger-Bühler","드라마, 스릴러","Zentropa Entertainments, One Two Films, Zentropa International Berlin","DK, DE",Successful businesswoman Maria has achieved everything except what she wants the most - a baby of her own. She decides to deal with the matter by herself and embarks on a desperate and dangerous journey in order to make her dream come true.
20188144,0.0MHz,133522,20190529,2018,공포(호러),한국,유선동,정은지|이성열|최윤영|신주환|정원창,(주)제이엠컬쳐스,(주)스마일이엔티,0.0MHz,2019-05-29,tt10341248,584586,세상에 일어나는 초자연 미스터리를 분석하는 동아리 0.0MHz 멤버들이 귀신을 부르는 주파수를 증명하기 위해 우하리의 한 흉가를 찾은 후 기이한 현상이 멈추지 않는데…,KR,You Sun-dong,"최윤영, Shin Ju-hwan, 정은지, Jung Won-chang, 이성열",공포,"Smile Ent., Monster Factory, Spotlight Pictures",KR,The members of a supernatural exploration club called 0.0MHz explores a haunted house to prove the existence of frequencies that attract ghosts.
20197483,1919 유관순,53153,20190314,2019,다큐멘터리,한국,신상민,이새봄|양윤희|김나니|박자희|장세아,유관순문화산업전문유한회사,주식회사 마운틴픽쳐스|(주)케이티알파,1919 유관순,2019-03-14,tt10453014,585295,"100년 전, 소녀들이 대한독립을 위해 세상에 맞서기 시작했다. 우리가 기억해야 할 그 시절 모든 소녀들의 이름, 그녀들이 남긴 그날의 가장 생생한 기록!",KR,Shin Sang-min,"Lee Sae-bom, 김나니, 하희라, Kwon Ji-woo",다큐멘터리,"kth, Mountain Pictures",KR,A film that explores the lives of female independence activists who fought against the Japanese Occupation in the North and South of Korea.
20197122,1947 보스톤,934494,20230927,2020,드라마,한국,강제규,하정우|임시완|배성우|김상호|오희준,(주)비에이엔터테인먼트|(주)빅픽쳐,롯데컬처웍스(주)롯데엔터테인먼트|(주)콘텐츠지오|주식회사 에이투지엔터테인먼트,1947 보스톤,2023-09-27,tt11692284,581394,"1936년 베를린 올림픽, 세계 신기록을 세운 마라톤 금메달리스트 손기정. 기미가요가 울려 퍼지는 시상대에서 화분으로 가슴에 단 일장기를 가렸던 그는 하루아침에 민족의 영웅으로 떠올랐지만 일제의 탄압으로 더 이상 마라톤을 할수 없게 된다. 광복 이후 1947년 서울, 제2의 손기정으로 촉망받는 서윤복에게 손기정이 나타나고 밑도 끝도 없이 보스톤 마라톤 대회에 나가자는 제안을 건넨다. 일본에 귀속된 베를린 올림픽의 영광을 되찾기 위해 처음으로 태극마크를 가슴에 새기고 달려 보자는 것! 운동화 한 켤레 살 돈도 없던 대한의 마라토너들은 미국 보스톤으로 잊을 수 없는 여정을 시작하는데…",KR,강제규,"하정우, 임시완, 배성우, 김상호, 박은빈",드라마,"BA Entertainment, Big Picture",KR,"A rousing tale of the Korean athletes who ran the 1947 Boston International Marathon, the first international marathon held since World War II."
20219375,1980,36829,20240327,2024,드라마,한국,강승용,강신일|김규리|백성현|한수연|박준혁,히스토리 디앤피|(주)디에이치미디어|굿픽처스,(주)제이앤씨미디어그룹|와이드 릴리즈(주),1980,2024-03-27,tt31171712,814193,"평생 중국 음식점에서 수타면을 뽑던 철수 할아버지는 1980년 5월 17일 드디어 자기 음식점을 오픈한다. 철수와 엄마, 아빠, 이모 그리고 새신랑이 될 삼촌과 예비 신부까지 철수네 대가족은 이제 행복한 꿈만 꾸면 된다고 생각하는데…",KR,Kang Seung-yong,"강신일, 김규리, 백성현, 한수연, 송민재",드라마,"Good Pictures, History D&P, DH Media, JNC Media Group",KR,"There is HWAPYONG Restaurant with full of hopes of the family of three generations. Grandfather, the first-generation owner, and the first son, the second-generation owner, who lives as a fugitive after being branded as a communist and his wife and Cheol-soo’s mom who has to work hard by juggling work and family without complaint. The second son, Cheol-soo’s uncle, who sometimes acts like a child with an excuse of being the second son but loves Cheol-soo more than anyone and seriously cares about the restaurant. To the third generation, young Cheol-soo, family is the most precious. By the time when ‘Seoul Spring’ longing for democratization came to nothing due to ‘Retreat from Seoul Station’ in 1980, there were a series of peaceful protests in Gwangju, Jeolla Province. In warm May, a large dark cloud is looming over HWAPYONG Restaurant, the home and everything of this ordinary family of Cheol-soo, in the middle of Gwangju."
20201876,1984 최동원,5322,20211111,2020,다큐멘터리,한국,조은성,최동원|조진웅,(주)영화사진|엠앤씨에프,(주)트리플픽쳐스,1984 최동원,2021-11-11,,762583,"모든 것을 바꿔 놓은 코로나 시대. 평범한 일상은 물론 열기로 가득했어야 할 그라운드의 시계도 38년 만에 멈췄다. 다시 만날 날을 기다리는 시대. 긴 기다림을 견딜 수 있는 힘은 추억이다. 1984년 가을의 추억처럼 말이다. 그는 “마, 함 해 보입시더!”라고 말한 후, 뚜벅뚜벅 마운드로 걸어갔다. 그리고 그라운드 역사상 최고의 드라마를 만들어 냈다.",KR,Cho Eun-seong,"Choi Dong-won, 조진웅",다큐멘터리,,KR,
20170590,1987,7201087,20171227,2017,드라마,한국,장준환,김윤석|하정우|유해진|김태리|이희준,(주)우정필름,(주)씨제이이엔엠,1987,2017-12-27,tt6493286,437103,"1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다. 박처장의 주도 하에 경찰은 시신 화장을 요청하지만, 사망 당일 당직이었던 최검사는 이를 거부하고 부검을 밀어붙인다. 단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자는 물고문 도중 질식사를 보도한다. 한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희에게 위험한 부탁을 하게 되는데...",KR,장준환,"김윤석, 하정우, 유해진, 김태리, 박희순","드라마, 역사, 스릴러","CJ Entertainment, Woojeong Film",KR,"In 1987 Korea, under an oppressive military regime, a college student gets killed during a police interrogation involving torture. Government of officials are quick to cover up the death and order the body to be cremated. A prosecutor who is supposed to sign the cremation release, raises questions about a 21-year-old kid dying of a heart attack, and he begins looking into the case for truth. Despite a systematic attempt to silence everyone involved in the case, the truth gets out, causing an eruption of public outrage."
20156749,19곰 테드 2,167144,20150625,2015,코미디,미국,세스 맥팔레인,마크 월버그|세스 맥팔레인|아만다 사이프리드|모건 프리먼|리암 니슨,,유니버설픽쳐스인터내셔널 코리아(유),19곰 테드 2,2015-06-25,tt2637276,214756,왕따에게도 왕따 당하던 8살 존(마크 월버그)의 크리스마스 소원으로 살아 움직이게 된 테드(세스 맥팔레인)! 무적의 썬더 버디로 30년 동안 철없고 끈끈한 우정을 이어가던 둘은 테드가 인간이 아니라 물건(?)이라는 법원의 판결로 멘붕에 빠진다. 빡친 테드는 존과 함께 자신의 인권(?)을 입증하기 위해 승률 99.8% 변호사 사만다(아만다 사이프리드)를 찾아가는데……,US,세스 맥팔레인,"마크 월버그, 세스 맥팔레인, 아만다 사이프리드, Jessica Barth, 조반니 리비시","코미디, 판타지","Smart Entertainment, Universal Pictures, Fuzzy Door Productions, Bluegrass Films, MRC",US,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law."
20168161,1급기밀,200090,20180124,2016,드라마,한국,홍기선,김상경|김옥빈|최무성|최귀화|김병철,(주)미인픽쳐스|(주)미디어모굴,(주)리틀빅픽쳐스,1급기밀,2017-07-20,tt6955808,464927,"국방부 군수본부 항공부품구매과 과장으로 부임한 박대익 중령(김상경)에게 어느 날, 공군 전투기 파일럿 강영우 대위가 찾아와 전투기 부품 공급 업체 선정에 대한 의혹을 제기한다. 이에 대익이 부품구매 서류를 확인하던 중 유독 미국의 에어스타 부품만이 공급되고 있음을 발견한다. 한편 강영우 대위가 전투기 추락 사고를 당하고, 이를 조종사 과실로 만들어 사건을 은폐하는 과정을 지켜본 대익은 큰 충격을 받는다. 그리고 은밀한 뒷조사 끝에 차세대 전투기 도입에 관한 에어스타와 연계된 미 펜타곤과 국방부 간에 진행되고 있는 모종의 계약을 알게 된다. 딸에게만큼은 세상에서 가장 바보 같지만 세상에서 제일 용감한 군인으로 남고 싶은 대익은 [PD25시]의 기자 김정숙(김옥빈)과 손잡고 국익이라는 미명으로 군복 뒤에 숨은 도둑들의 만행을 폭로하기로 결심하는 데…  그들이 시작한 전쟁, 절대로 항복하지 않을 것이다!",KR,Hong Ki-seon,"김상경, 김옥빈, 최무성, 최귀화, 서현우",스릴러,Little Big Pictures,KR,"Captain Gang has died in a test flight accident. Dae-ik discovers a huge corruption scandal while trying to determine the cause of death. He reports it to journalist Jung-sook, but things changed in unexpected ways."
