title,release_date,imdb_id,tmdb_id,overview,directors,cast_top5,genres,production_companies,production_countries
Gunner,2024-08-16,tt12598606,5492,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",Dimitri Logothetis,"Luke Hemsworth, Morgan Freeman, Joseph Baena, Maurice P. Kerry, Mykel Shannon Jenkins","Action, Thriller, Crime","Convergence Entertainment, Broken Road Productions",US
Krystal,2018-04-13,tt0835802,10148,A young man living a sheltered life develops a crush on a stripper and joins her Alcoholics Anonymous group just so he can be in the same room with her.,William H. Macy,"Rosario Dawson, Nick Robinson, T.I., Grant Gustin, Felicity Huffman","Drama, Comedy","Dog Pond Productions, Dorian Media, Pantry Films, Tangerine Pictures, Lionsgate",US
Our Brand Is Crisis,2015-09-11,tt1018765,10317,"Based on the documentary ""Our Brand Is Crisis"", this feature focuses on the use of American political campaign strategies in South America.",David Gordon Green,"Sandra Bullock, Anthony Mackie, Billy Bob Thornton, Zoe Kazan, Scoot McNairy","Comedy, Drama","Participant, Smoke House Pictures",US
Rings,2017-02-01,tt0498381,14564,"Julia becomes worried about her boyfriend Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",F. Javier Gutiérrez,"Matilda Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio, Aimee Teegarden",Horror,"Paramount Pictures, Macari/Edelstein, Parkes+MacDonald Image Nation, Waddieish Claretrap",US
Mixtape,2021-12-03,tt1587420,32471,"On the eve of Y2K, orphaned 12-year-old Beverly discovers a broken mixtape crafted by her teen parents. Raised by her grandmother – who struggles talking about her late daughter – Beverly sees the mixtape as a chance to finally learn more about her parents.",Valerie Weiss,"Gemma Brooke Allen, Julie Bowen, Nick Thune, Audrey Hsieh, Olga Petsa","Comedy, Family","Maven Screen Media, Jim Wedaa Productions",US
Bad Boys for Life,2020-01-15,tt1502397,38700,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.","Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Charles Melton","Thriller, Action, Crime","Columbia Pictures, 2.0 Entertainment, Don Simpson/Jerry Bruckheimer Films, Overbrook Entertainment",US
Ghostbusters,2016-07-14,tt1289401,43074,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Paul Feig,"Kristen Wiig, Melissa McCarthy, Kate McKinnon, Leslie Jones, Chris Hemsworth","Action, Fantasy, Comedy","Ghost Corps, Columbia Pictures, Village Roadshow Pictures, LStar Capital, Feigco Entertainment, Pascal Pictures, The Montecito Picture Company",US
Independence Day: Resurgence,2016-06-22,tt1628841,47933,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman, Maika Monroe","Action, Adventure, Science Fiction","20th Century Fox, TSG Entertainment, Centropolis Entertainment, Stereo D",US
xXx: Return of Xander Cage,2017-01-13,tt1293847,47971,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",D.J. Caruso,"Vin Diesel, Donnie Yen, Ruby Rose, Toni Collette, Samuel L. Jackson","Action, Adventure, Crime","Rox Productions, Revolution Studios, Maple Cage Productions, Huahua Media, Roth-Kirschenbaum Films, Shanghai Film Group, One Race, Paramount Pictures","CA, CN, US"
Super Troopers 2,2018-04-19,tt0859635,50022,"When an international border dispute arises between the U.S. and Canada, the Super Troopers- Mac, Thorny, Foster, Rabbit and Farva, are called in to set up a new Highway Patrol station in the disputed area.",Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Erik Stolhanske, Paul Soter","Comedy, Crime, Mystery","Broken Lizard Industries, Cataland Films, Needle's Eye Productions, Fox Searchlight Pictures",US
