title,release_date,imdb_id,tmdb_id,overview,origin_country,directors,cast_top5,genres,production_companies,production_countries
강남 1970,2015-01-21,tt3698118,297721,"호적도 제대로 없는 고아로, 넝마주이 생활을 하며 친형제처럼 살던 종대와 용기. 유일한 안식처였던 무허가촌의 작은 판자집마저 빼앗기게 된 두 사람은 건달들이 개입된  전당대회 훼방 작전에 얽히게 되고 그 곳에서 서로를 잃어버린다.  3년 후, 자신을 가족으로 받아 준 조직 두목 출신 길수의 바람과 달리, 잘 살고 싶다는 꿈 하나로 건달 생활을 하게 되는 종대. 정보와 권력의 수뇌부에 닿아있는 복부인 민마담과 함께 강남 개발의 이권다툼에 뛰어든 종대는 명동파의 중간보스가 된 용기와 재회하고, 두 사람은 정치권까지 개입된 의리와 음모, 배신의 전쟁터. 그 한 가운데에 놓이게 되는데…",KR,유하,"이민호, 김래원, 정진영, 김지수, 김설현","액션, 범죄, 스릴러",Showbox,KR
스물,2015-03-25,tt4415016,331251,"아무것도 하지 않는 잉여의 삶을 지향하는 인기절정의 백수, 만화가가 되겠다는 꿈을 위해 쉴 틈 없이 준비하는 생활력 강한 재수생, 대기업 입사가 목표인 최강 스펙의 엄친아이지만 술만 마시면 돌변하는 새내기 대학생까지. 인생의 가장 부끄러운 순간을 함께 한 스무살 동갑내기 세 친구의 자체발광 코미디!",KR,이병헌,"김우빈, 이준호, 강하늘, 정소민, 이유비","코미디, 드라마","Next Entertainment World, iHQ",KR
차이나타운,2015-04-29,tt4647788,336744,지하철 보관함 10번에 버려져 이름이 일영인 아이. 아이는 오직 쓸모 있는 자만이 살아남는 차이나타운에서 엄마라 불리는 여자를 만난다. 엄마는 일영을 비롯해 쓸모 있는 아이들을 자신의 식구로 만들어 차이나타운을 지배한다. 돈이 되는 일이라면 어떤 일도 마다하지 않는 엄마가 일영에게는 유일하게 돌아갈 집이었다. 그리고 일영은 엄마에게 가장 쓸모 있는 아이로 자란다.,KR,한준희,"김혜수, 김고은, 엄태구, 박보검, 고경표","드라마, 스릴러","Barunson, CGV Arthouse",KR
악의 연대기,2015-05-14,tt4619940,340746,"특급 승진을 앞둔 최반장은 회식 후 의문의 괴한에게 납치를 당한다. 위기를 모면하려던 최반장은 우발적인 살인을 저지르게 되고, 승진을 위해 사건을 은폐하기로 결심한다. 이튿날 아침, 최반장이 죽인 시체가 경찰서 앞 공사장 크레인에 매달린 채 공개되고 대한민국이 발칵 뒤집힌다. 자신이 저지른 살인 사건을 담당하게 된 최반장은 좁혀오는 수사망에 불안감을 느낀다. 최반장은 자신의 실수를 덮기 위해 사건을 조작하고 재구성한다. 그러던 어느 날, 경찰서로 의문의 전화가 걸려오고, 한 남자가 자신이 진범이라며 경찰서에 나타나는데…",KR,백운학,"손현주, 마동석, 박서준, 최다니엘, 이상원","스릴러, 범죄","CJ Entertainment, BA Entertainment",KR
간신,2015-05-21,tt4844288,338803,"연산군 11년, 1만 미녀를 바쳐 왕을 쥐락펴락하려는 자가 득실거리니,  그야말로 간신들의 시대가 도래했다.  “단 하루에 천년의 쾌락을 누리실 수 있도록 준비하겠나이다!”  연산군은 임숭재를 채홍사로 임명하여 조선 각지의 미녀를 강제로 징집했고, 그들을 운평이라 칭하였다.  최악의 간신 임숭재는 이를 기회로 삼아 천하를 얻기 위한 계략을 세우고, 양반집 자제와 부녀자, 천민까지 가릴 것 없이 잡아들이니 백성들의 원성이 하늘을 찔렀다.  ""왕을 다스릴 힘이 내 손안에 있습니다!  내가 바로 왕 위의 왕이란 말입니다!""  임숭재와 임사홍 부자는 왕을 홀리기 위해 뛰어난 미색을 갖춘 단희를 간택해 직접 수련하기 시작하고, 임숭재 부자에게 권력을 뺏길까 전전긍긍하던 희대의 요부 장녹수는 조선 최고의 명기 설중매를 불러들여 단희를 견제한다.  한 치도 물러설 수 없는 간신들의 치열한 권력다툼이 시작되고, 단희와 설중매는 살아남기 위해 조선 최고의 색(色)이 되기 위한 수련을 하게 되는데…",KR,민규동,"주지훈, 김강우, 임지연, 이유영, 천호진","드라마, 역사, 범죄","Lotte Entertainment, Soo Film",KR
경성학교: 사라진 소녀들,2015-06-18,tt4708348,342657,"외부와 단절된 경성의 한 기숙학교.  어느 날부터, 학생들이 하나 둘 이상 증세를 보이다 흔적도 없이 사라지기 시작한다. 주란은 사라진 소녀들을 목격하지만 아무도 그녀의 말을 믿어주지 않고, 교장도 아무 일 없었다는 듯 우수학생 선발에만 힘쓸 뿐이다. 학교에서 벌어지는 사건들에 의문을 품은 주란, 하지만 곧 주란에게도 사라진 소녀들과 동일한 이상 증세가 나타나기 시작하는데...",KR,이해영,"박보영, 엄지원, 박소담, Kong Ye-ji, 심희섭","공포, 스릴러, 미스터리","Generation Blue Films, Lotte Entertainment, The Secret Garden",KR
연평해전,2015-06-24,tt4696222,343843,"월드컵의 열기로 뜨거웠던 2002년 6월 해군 출신 아버지의 자랑스러운 아들이자, 참수리 357호 정장 윤영하 대위. 아내의 든든한 남편이자, 참수리 357호 조타장 한상국 하사. 어머니의 하나뿐인 아들이자, 참수리 357호 의무병 박동혁 상병. 참수리 357호 대원들은 실전을 방불케 하는 고된 훈련 속에 서로를 의지하며 가족 같은 존재가 되어간다. 무더운 여름과 함께 월드컵의 함성이 뜨거워지는 가운데, 한국과 터키의 3, 4위전 경기가 열리던 그날 서해 바다 한 가운데에 포성이 울리는데…",KR,Kim Hak-soon,"김무열, 진구, 이현우, 이청아, 송재호","전쟁, 역사","ROSETTA CINEMA, Next Entertainment World",KR
손님,2015-07-09,tt4718500,345888,"1950년대의 어느 날, 떠돌이 악사 우룡과 영남 부자는 서울로 가던 길에 우연히 지도에도 나오지 않는 산골 마을에 들어선다. 시끄러운 바깥세상과 달리 촌장의 강력한 지도 아래 모든 게 평화롭고 풍족한 마을이지만 단 하나, 시도 때도 없이 출몰하는 쥐떼들이 골칫거리다. 마을의 골칫거리인 쥐떼를 쫓아주면 목숨보다 소중한 아들, 영남이의 폐병을 고칠 목돈을 준다는 약속을 믿고 우룡은 피리를 불어 쥐떼를 쫓아낸다. 하지만 그 날 이후, 마을의 비밀이 하나씩 드러나기 시작하면서 우룡과 마을 사람들은 설명할 수 없는 이상한 사건에 휘말리게 되는데...  부르지 않은 손님이 온 그 날 이후, 너희들은 어떻게 될까?",KR,Kim Kwang-tae,"류승룡, 이성민, 천우희, 이준, 구승현","공포, 미스터리, 스릴러","CJ Entertainment, Smiley Face, UBU Film",KR
암살,2015-07-22,tt3501416,291549,"1933년 조국이 사라진 일제 강점기, 대한민국 임시정부는 일본 측에 노출되지 않은 세 명을 암살작전에 지목한다. 대한독립군 저격수 안옥윤, 신흥무관학교 출신 속사포, 폭탄 전문가 황덕삼이 바로 그들. 김구의 두터운 신임을 받는 임시정부 경무국 대장 염석진은 이들을 찾아 나서기 시작한다. 암살단의 타깃은 조선주둔군 사령관 카와구치 마모루와 친일파 강인국. 한편 의문의 누군가에게 거액의 의뢰를 받은 청부 살인업자 하와이 피스톨이 암살단의 뒤를 추격하는데...",KR,최동훈,"전지현, 하정우, 이정재, 오달수, 조진웅","액션, 스릴러, 드라마","Caper Film, Showbox",KR
베테랑,2015-08-05,tt4768764,346646,"한 번 꽂힌 것은 무조건 끝을 보는 행동파 서도철은 겁 없고, 못 잡는 것 없고, 봐주는 것 없는 특수 강력사건 담당 광역수사대. 오랫동안 쫓던 대형 범죄를 해결한 후 숨을 돌리려는 찰나, 서도철은 재벌 3세 조태오를 만나게 된다. 세상 무서울 것 없는 안하무인의 조태오와 언제나 그의 곁을 지키는 오른팔 최상무. 서도철은 의문의 사건을 쫓던 중 그들이 사건의 배후에 있음을 직감한다. 건들면 다친다는 충고에도 불구하고 포기하지 않는 서도철의 집념에 판은 걷잡을 수 없이 커져가고, 조태오는 이를 비웃기라도 하듯 유유히 포위망을 빠져 나가는데...",KR,류승완,"황정민, 유아인, 유해진, 오달수, 장윤주","액션, 범죄, 코미디, 스릴러","Filmmaker R&K, Froniter Works Comic, Stone Comics Entertainment, CJ Entertainment, filmK",KR
"협녀, 칼의 기억",2015-08-13,tt3054798,348689,"칼이 지배하던 시대, 고려 말 왕을 꿈꿨던 한 남자의 배신 그리고 18년 후 그를 겨눈 두 개의 칼. 고려를 탐한 검, 유백. 대의를 지키는 검, 월소. 복수를 꿈꾸는 검, 홍이. 뜻이 달랐던 세 개의 칼이 부딪친다.",KR,박흥식,"이병헌, 전도연, 김고은, 이준호, 이경영","드라마, 역사, 액션","Lotte Entertainment, TPS Company",KR
뷰티 인사이드,2015-08-20,tt4273886,338729,"자고 일어나면 다른 사람이 되는 남자가 있다. 매일 국적, 성별, 나이를 넘나드는 남자, 우진은 정체를 드러내지 않고 가구 디자이너로서 살아왔다. 그러던 어느 날, 가구 판매점에서 이수라는 여자를 만난 우진은 처음 사랑이라는 감정을 느낀다. 항상 다른 모습으로 그녀를 지켜보던 우진은 이수에게 데이트 신청을 한다. 설레는 첫 데이트 이후 그는 잠을 자지 않고 모습을 유지하기 위해 노력한다. 우진은 며칠간 보통 사람 같은 행복한 시간을 보내지만, 결국 잠이 들어 다른 모습으로 변해버리고 만다. 그녀 곁을 맴돌던 우진은 용기를 내어 비밀을 밝히는데...",KR,백,"한효주, 김대명, 도지한, 배성우, 박신혜","판타지, 로맨스","Yong Film, Next Entertainment World",KR
오피스,2015-09-03,tt4682562,336055,"어느 날 한 가족의 가장이자 착실한 회사원인 김병국 과장이 일가족을 살해하고 사라졌다. 이에 형사 종훈은 그의 회사 동료들을 상대로 수사를 시작하지만 모두들 말을 아끼고, 특히 김과장과 사이가 좋았다는 이미례 인턴은 무언가를 숨기고 있는 눈치다. 게다가 종훈은 김과장이 사건 직후 회사에 들어온 CCTV 화면을 확보하지만, 그가 회사를 떠난 화면은 어디에도 없어 사건은 미궁으로 빠진다. 한편, 김과장이 아직 잡히지 않았다는 사실에 동료들은 불안에 떠는 가운데, 이들에게 의문의 사건들이 계속 일어나는데…",KR,홍원찬,"고아성, 박성웅, 배성우, 김의성, 류현경","스릴러, 미스터리","Little Big Pictures, kth, Film Blossom",KR
사도,2015-09-16,tt4010918,315439,재위기간 내내 왕위계승 정통성 논란에 시달린 영조는 학문과 예법에 있어 완벽한 왕이 되기 위해 끊임없는 노력을 기울인다. 뒤늦게 얻은 귀한 아들 세자만은 모두에게 인정받는 왕이 되길 바랐지만 기대와 달리 어긋나는 세자에게 실망하게 된다. 어린 시절 남다른 총명함으로 아버지 영조의 기쁨이 된 아들. 아버지와 달리 예술과 무예에 뛰어나고 자유분방한 기질을 지닌 사도는 영조의 바람대로 완벽한 세자가 되고 싶었지만 자신의 진심을 몰라주고 다그치기만 하는 아버지를 점점 원망하게 된다.,KR,이준익,"유아인, 송강호, 이효제, 소지섭, 문근영","드라마, 역사",Tiger Pictures,KR
지금은맞고그때는틀리다,2015-09-24,tt4768776,354275,"실수로 영화감독 함춘수는 수원에 하루 일찍 내려간다. 다음날 특강을 기다리며 들른 복원된 궁궐에서 윤희정이라는 화가를 만난다. 둘은 윤의 작업실에 가서 윤의 그림을 구경하고, 저녁에는 회에다 소주를 많이 마신다. 거기서 가까워지는 두 사람. 다른 카페로 이동한 두 사람은 술을 더 마신다. 거기서 누군가의 질문 때문에 함은 자신의 결혼한 사실을 할 수 없이 말하게 되고, 윤은 함에게 많이 실망하게 된다…  이런 비슷한 만남과 헤어짐의 이야기가 다시 한 번 이어진다. 여자가 더 목소리가 위축되어 있고, 몸도 굽어져 있다. 둘이 돌아다니는 데는 비슷한데, 여기선 남자가 옷도 벗고 그런다.",KR,홍상수,"정재영, 김민희, 윤여정, 기주봉, 최화정","드라마, 로맨스, 코미디","Jeonwonsa Film, Next Entertainment World",KR
시크릿 인 데어 아이즈,2015-10-14,tt1741273,290751,LA 지방검사실에 파견된 FBI 수사관 레이는 파트너 제스의 10대 딸이 잔인하게 살해되자 연방 검사와 팀을 이뤄 살인범을 잡으려고 합니다. 하지만 살인범이 진행중인 테러 수사와 관련하여 보호를 받는다는 사실을 알며 수사는 암초에 부딪치는데...,"KR,US",Billy Ray,"추이텔 에지오포, 니콜 키드먼, 줄리아 로버츠, 딘 노리스, 알프레드 몰리나","스릴러, 미스터리, 범죄","Ingenious Media, Gran Via Productions, IM Global, STXfilms, Route One Entertainment, Union Investment Partners, SITE Productions, Willie's Movies","KR, ES, GB, US"
맛있는 비행,2015-11-01,tt6077598,390845,"홍콩(?)행 기내 서비스가 시작됩니다! 광활한 창공에서 펼쳐지는 리얼 19금 연애담! 청순가련의 대명사였지만 아이돌과의 섹스 스캔들로 도망친 여배우, 그녀의 모든 커리어를 망쳐 버린 발랑 까진 아이돌, 그녀에게 절대 충성하는 열혈 매니저, 그리고 이제는 섹시한 승무원이 된 매니저의 전 여친까지! 절대 만나선 안 될 네 사람이 비행기 안에서 마주쳤다. 도망칠 수 없는 그곳에서 지나치게 발칙하고 지독하게 화끈한 로맨스가 펼쳐진다.",KR,Choi Sang-hoon,"손우혁, Jeong Yoo-jin, Shin Yu-ju, Jeon Hyeon-soo, Baek In-Kwon",로맨스,,KR
검은 사제들,2015-11-05,tt5049302,360551,"2015년 서울, 뺑소니 교통사고 이후 의문의 증상에 시달리는 한 소녀. 잦은 돌출 행동으로 교단의 눈 밖에 난 김신부는 모두의 반대와 의심 속, 소녀를 구하기 위한 자신만의 계획을 준비한다. 이를 위해선 모든 자격에 부합하는 또 한 명의 사제가 필요한 상황, 모두가 기피하는 가운데 신학생인 최부제가 선택되고, 그는 김신부를 돕는 동시에 감시하라는 미션을 받게 된다. 그리고 마침내 소녀를 구할 수 있는 단 하루의 기회, 김신부와 최부제는 모두의 목숨을 잃을 수도 있는 위험한 예식을 시작하는데…",KR,장재현,"김윤석, 강동원, 박소담, 김의성, 손종학","미스터리, 스릴러, 드라마, 공포","Zip Cinema, Opus Pictures",KR
