title,release_date,imdb_id,tmdb_id,overview,origin_country,popularity,runtime,vote_average,vote_count,directors,directors_id,directors_popularity,cast_top5,cast_top5_id,cast_top5_popularity,genres,production_companies,production_companies_id,production_countries,audiAcc
Casa Amor: Exclusive for Ladies,2015-01-07,tt4455690,318541,"Beautiful, workaholic Bo-hee is a successful marketing executive at the number one toy company in Korea. Respected by her colleagues and in line for a promotion, she makes an irrevocable mistake that gets her fired from her job. Bo-hee's life further spins out of control when her husband Gang-sung leaves her soon after.  Bo-hee is befriended by her neighbor Nan-hee, an amateur sex expert who runs a sex shop on the brink of bankruptcy called ""Casa Amor."" Nan-hee's predicament inspires Bo-hee's creativity, and using her background in children's toys, she is determined to save the shop by making its ambiance more refined and by promoting better sex toys.",KR,2.7757,112,5.7,16,Jung Bum-shik,112018,0.1833,"Cho Yeo-jeong, Clara Lee, Kim Tae-woo, Kim Bo-yeon, Ra Mi-ran","556435, 1149923, 25003, 573791, 980225","2.6158, 1.4249, 1.5713, 1.3538, 1.6737","Comedy, Romance","Soo Film, Hong Film, Plus M Entertainment, kth","96988, 96989, 91505, 119446",KR,132958
Chronicle of a Blood Merchant,2015-01-14,tt3797004,321191,"Set in a village right after the Korean War, poor but good-hearted Heo Sam-gwan sets out to win the most beautiful girl in the village, Heo Ok-ran, by selling his blood to earn money. Years later, the two are happily married with three children, but their family undergoes a crisis when Sam-gwan's eldest son doesn't resemble him and rumors spread about the boy's paternity.",KR,1.9113,124,7.1,34,Ha Jung-woo,75913,1.9317,"Ha Jung-woo, Ha Ji-won, Nam Da-reum, No Kang-min, Jeon Hye-jin","75913, 83220, 1510020, 1267857, 150126","1.9317, 2.1875, 1.5515, 0.1856, 1.6366","Romance, Drama, History","Next Entertainment World, Fantagio, Dhutayeon","20064, 12620, 126293",KR,948101
Love Forecast,2015-01-14,tt4315956,313628,"Whenever elementary school teacher Kang Joon-soo falls in love, he always gives too much of himself to the relationship. Yet despite that, he ends up being the one getting dumped by his girlfriends. Joon-soo has been friends for 18 years with Kim Hyun-woo, a weather forecaster whose beauty belies her witty tongue and aggressive manner.",KR,2.7343,118,6.7,43,Park Jin-pyo,568019,0.8073,"Lee Seung-gi, Moon Chae-won, Lee Seo-jin, Jung Joon-young, Go Yoon","1250842, 1248204, 77282, 1469148, 1857962","1.7134, 1.6491, 1.4283, 0.895, 0.2805","Comedy, Romance",CJ Entertainment,7036,KR,1833216
Gangnam Blues,2015-01-21,tt3698118,297721,"Jong-dae and Yong-ki make a living by picking up paper and empty bottles. Both then join different gangster clan and becomes involved in a struggle of political interests over development in Gangnam, Seoul.",KR,2.708,135,6.5,86,Yoo Ha,1294627,0.6324,"Lee Min-ho, Kim Rae-won, Jung Jin-young, Kim Ji-soo, Kim Seol-hyun","1245104, 1222330, 96484, 64456, 1374514","7.5244, 1.3059, 1.6061, 1.3057, 1.2864","Action, Crime, Thriller",Showbox,3491,KR,2122610
Shoot Me in the Heart,2015-01-28,tt4596408,326854,"A young man develops schizophrenia after his mother's suicide. After he meets a kindred spirit at the psychiatric hospital, he forges a plan with the man to escape.",KR,1.1629,101,7.825,20,Je-yong Mun,2554179,0.0214,"Lee Min-ki, Yeo Jin-goo, Yu Oh-seong, Kim Jung-tae, Shin Gu","1299351, 1207629, 80654, 63446, 96632","1.2876, 2.0934, 1.6611, 1.3668, 1.1915",Drama,"Jupiter Film, Little Big Pictures, kth, ISU C&E, 9ers Entertainment, Sidus","108796, 71853, 119446, 197692, 41527, 3657",KR,382608
Miniforce: Justice Defender,2015-02-05,,385262,"Miniforce is a secrete commando force protecting little animals from Nein and Pascal.  One day, Pascal calls up Alien Jody to disrupt the animals using his brainwashing power. The Miniforce appears, but they don’t seem to stand a chance against the powerful strength of Jody, who can simply copy the opponent’s power and weapons.  Even worse, a Flower Mechamon appears and spreads pollen that makes everyone cry.",KR,0.1123,62,0.0,0,Lee Young-jun,1649016,0.0935,,,,Animation,SAMG Entertainment,79175,KR,122124
C'est Si Bon,2015-02-05,tt4430992,348613,A beautiful socialite enters the lives of three bickering musicians and inspires them to write a series of hit love-songs.,KR,1.6797,120,7.0,17,Kim Hyun-seok,24989,0.7487,"Jung Woo, Han Hyo-joo, Kim Yun-seok, Kim Hee-ae, Jin Goo","974270, 240145, 75912, 1304595, 1299287","1.1454, 3.8968, 1.6654, 1.6169, 1.4851","Comedy, Romance, Drama",CJ Entertainment,7036,KR,1649258
Detective K: Secret of the Lost Island,2015-02-11,tt4505170,328716,Joseon's top detective Kim Min attempts to track down those responsible for circulating massive amounts of counterfeit silver bullion in Joseon. He also tries to find the missing sibling of a young girl.,KR,1.9307,125,6.6,23,Kim Sok-yun,1296088,0.7956,"Kim Myung-min, Oh Dal-su, Lee Yeon-hee, Jung Won-joong, Hwang Chae-won","97024, 77188, 126880, 462584, 1533904","1.2115, 1.4342, 1.2676, 1.0505, 0.1907","Action, Mystery, Comedy","Generation Blue Films, Showbox","79409, 3491",KR,3723746
Granny's Got Talent,2015-03-05,tt6449466,333713,"A national cussing battle audition is the nation's hype. People from all over the country audition in becoming the ""Cussing King."" However, redundant cussing auditioners cause viewership to drop dramatically. The producer decides to revive the show by introducing a regular looking grandmother...",KR,1.8455,108,7.8,12,Shin Han-sol,127984,0.4911,"Kim Soo-mi, Jeong Man-sik, Kim Jung-tae, Lee Tae-ran, Jung Ae-yeun","105411, 1044800, 63446, 1255548, 1257584","1.2645, 1.581, 1.3668, 1.098, 1.0153",Comedy,"Next Entertainment World, The Contents On, The Pictures with a View","20064, 113586, 20359",KR,506577
Empire of Lust,2015-03-05,tt3544326,333167,"In the turbulent Joseon dynasty, army commander Min-jae watches ambitious Prince Yi Bang-won while becoming entwined with Ga-hee, a vengeful gisaeng. Fate collides as power shifts.",KR,6.3865,113,6.848,46,Ahn Sang-hoon,111411,0.1789,"Jang Hyuk, Kang Han-na, Shin Ha-kyun, Kang Ha-neul, Son Byung-ho","63438, 1311803, 25004, 1257899, 42799","2.4067, 2.0894, 1.4377, 2.8368, 1.369","Romance, Drama, History","Fineworks, CJ Entertainment","33257, 7036",KR,463616
